depth	LID	rel_unc
783	48.93	0.2
784	48.93	0.2
785	48.93	0.2
786	48.93	0.2
787	48.93	0.2
788	48.93	0.2
789	48.93	0.2
790	48.93	0.2
791	48.93	0.2
792	48.93	0.2
793	48.93	0.2
794	48.93	0.2
795	48.93	0.2
796	48.92	0.2
797	48.92	0.2
798	48.92	0.2
799	48.91	0.2
800	48.91	0.2
801	48.9	0.2
802	48.9	0.2
803	48.89	0.2
804	48.88	0.2
805	48.88	0.2
806	48.87	0.2
807	48.86	0.2
808	48.85	0.2
809	48.84	0.2
810	48.83	0.2
811	48.82	0.2
812	48.81	0.2
813	48.8	0.2
814	48.79	0.2
815	48.79	0.2
816	48.78	0.2
817	48.77	0.2
818	48.76	0.2
819	48.75	0.2
820	48.74	0.2
821	48.73	0.2
822	48.73	0.2
823	48.72	0.2
824	48.72	0.2
825	48.71	0.2
826	48.71	0.2
827	48.7	0.2
828	48.7	0.2
829	48.7	0.2
830	48.7	0.2
831	48.69	0.2
832	48.69	0.2
833	48.69	0.2
834	48.69	0.2
835	48.69	0.2
836	48.7	0.2
837	48.7	0.2
838	48.7	0.2
839	48.7	0.2
840	48.71	0.2
841	48.71	0.2
842	48.72	0.2
843	48.72	0.2
844	48.73	0.2
845	48.73	0.2
846	48.74	0.2
847	48.74	0.2
848	48.75	0.2
849	48.75	0.2
850	48.76	0.2
851	48.76	0.2
852	48.76	0.2
853	48.77	0.2
854	48.77	0.2
855	48.77	0.2
856	48.77	0.2
857	48.77	0.2
858	48.77	0.2
859	48.77	0.2
860	48.76	0.2
861	48.76	0.2
862	48.76	0.2
863	48.76	0.2
864	48.76	0.2
865	48.76	0.2
866	48.76	0.2
867	48.75	0.2
868	48.75	0.2
869	48.75	0.2
870	48.75	0.2
871	48.75	0.2
872	48.75	0.2
873	48.76	0.2
874	48.76	0.2
875	48.76	0.2
876	48.76	0.2
877	48.77	0.2
878	48.77	0.2
879	48.77	0.2
880	48.77	0.2
881	48.77	0.2
882	48.77	0.2
883	48.77	0.2
884	48.77	0.2
885	48.77	0.2
886	48.76	0.2
887	48.76	0.2
888	48.75	0.2
889	48.75	0.2
890	48.74	0.2
891	48.73	0.2
892	48.72	0.2
893	48.71	0.2
894	48.69	0.2
895	48.68	0.2
896	48.67	0.2
897	48.66	0.2
898	48.64	0.2
899	48.63	0.2
900	48.62	0.2
901	48.61	0.2
902	48.6	0.2
903	48.59	0.2
904	48.58	0.2
905	48.57	0.2
906	48.56	0.2
907	48.56	0.2
908	48.56	0.2
909	48.55	0.2
910	48.55	0.2
911	48.55	0.2
912	48.56	0.2
913	48.56	0.2
914	48.57	0.2
915	48.57	0.2
916	48.58	0.2
917	48.59	0.2
918	48.59	0.2
919	48.6	0.2
920	48.61	0.2
921	48.62	0.2
922	48.63	0.2
923	48.64	0.2
924	48.65	0.2
925	48.66	0.2
926	48.66	0.2
927	48.67	0.2
928	48.68	0.2
929	48.68	0.2
930	48.69	0.2
931	48.69	0.2
932	48.7	0.2
933	48.7	0.2
934	48.7	0.2
935	48.69	0.2
936	48.69	0.2
937	48.69	0.2
938	48.68	0.2
939	48.68	0.2
940	48.67	0.2
941	48.67	0.2
942	48.66	0.2
943	48.65	0.2
944	48.64	0.2
945	48.64	0.2
946	48.63	0.2
947	48.62	0.2
948	48.62	0.2
949	48.61	0.2
950	48.61	0.2
951	48.6	0.2
952	48.6	0.2
953	48.6	0.2
954	48.6	0.2
955	48.6	0.2
956	48.6	0.2
957	48.6	0.2
958	48.61	0.2
959	48.62	0.2
960	48.62	0.2
961	48.63	0.2
962	48.64	0.2
963	48.65	0.2
964	48.66	0.2
965	48.68	0.2
966	48.69	0.2
967	48.7	0.2
968	48.71	0.2
969	48.73	0.2
970	48.74	0.2
971	48.75	0.2
972	48.77	0.2
973	48.78	0.2
974	48.79	0.2
975	48.8	0.2
976	48.81	0.2
977	48.81	0.2
978	48.82	0.2
979	48.82	0.2
980	48.82	0.2
981	48.83	0.2
982	48.83	0.2
983	48.83	0.2
984	48.82	0.2
985	48.82	0.2
986	48.82	0.2
987	48.81	0.2
988	48.81	0.2
989	48.8	0.2
990	48.8	0.2
991	48.79	0.2
992	48.78	0.2
993	48.78	0.2
994	48.77	0.2
995	48.77	0.2
996	48.76	0.2
997	48.76	0.2
998	48.75	0.2
999	48.75	0.2
1000	48.75	0.2
1001	48.74	0.2
1002	48.74	0.2
1003	48.74	0.2
1004	48.73	0.2
1005	48.73	0.2
1006	48.73	0.2
1007	48.72	0.2
1008	48.72	0.2
1009	48.72	0.2
