depth	thinning	rel_unc
616	0.7633	0.015266
617	0.7629	0.015258
618	0.7625	0.01525
619	0.7621	0.015242
620	0.7617	0.015234000000000001
621	0.7613	0.015226
622	0.7609	0.015218
623	0.7605	0.01521
624	0.7601	0.015202
625	0.7598	0.015196000000000001
626	0.7594	0.015188
627	0.759	0.01518
628	0.7587	0.015174000000000002
629	0.7583	0.015166
630	0.7579	0.015158000000000001
631	0.7575	0.015149999999999999
632	0.7571	0.015142000000000001
633	0.7567	0.015134000000000002
634	0.7563	0.015126
635	0.7559	0.015118000000000001
636	0.7555	0.01511
637	0.7551	0.015102
638	0.7547	0.015094000000000002
639	0.7543	0.015086
640	0.7539	0.015078000000000001
641	0.7535	0.01507
642	0.7531	0.015062
643	0.7527	0.015054000000000001
644	0.7523	0.015046
645	0.7519	0.015038000000000001
646	0.7516	0.015032000000000002
647	0.7512	0.015024
648	0.7508	0.015016000000000002
649	0.7504	0.015007999999999999
650	0.75	0.015
651	0.7496	0.014992000000000002
652	0.7493	0.014986
653	0.7489	0.014978
654	0.7485	0.01497
655	0.7482	0.014964
656	0.7478	0.014956
657	0.7474	0.014948
658	0.7471	0.014942
659	0.7467	0.014934000000000001
660	0.7463	0.014926
661	0.7459	0.014918
662	0.7456	0.014912000000000002
663	0.7452	0.014904
664	0.7448	0.014896000000000001
665	0.7444	0.014887999999999998
666	0.744	0.01488
667	0.7436	0.014872000000000002
668	0.7432	0.014864
669	0.7428	0.014856000000000001
670	0.7424	0.014848
671	0.742	0.01484
672	0.7416	0.014832000000000001
673	0.7413	0.014825999999999999
674	0.741	0.01482
675	0.7407	0.014814
676	0.7404	0.014808
677	0.7402	0.014804
678	0.7399	0.014798
679	0.7396	0.014792000000000001
680	0.7393	0.014785999999999999
681	0.7389	0.014778
682	0.7385	0.014770000000000002
683	0.7381	0.014761999999999999
684	0.7376	0.014752000000000001
685	0.7371	0.014742
686	0.7366	0.014732
687	0.736	0.01472
688	0.7355	0.01471
689	0.735	0.0147
690	0.7345	0.014690000000000002
691	0.734	0.01468
692	0.7335	0.01467
693	0.733	0.01466
694	0.7325	0.014650000000000002
695	0.7321	0.014642
696	0.7316	0.014632000000000001
697	0.7311	0.014622
698	0.7306	0.014612
699	0.7302	0.014603999999999999
700	0.7297	0.014594000000000001
701	0.7292	0.014584
702	0.7288	0.014576
703	0.7283	0.014565999999999999
704	0.7279	0.014558
705	0.7274	0.014548000000000002
706	0.727	0.014539999999999999
707	0.7265	0.014530000000000001
708	0.7261	0.014522
709	0.7257	0.014514
710	0.7252	0.014504
711	0.7248	0.014496
712	0.7244	0.014488000000000001
713	0.724	0.01448
714	0.7236	0.014472
715	0.7232	0.014464
716	0.7228	0.014456
717	0.7224	0.014448
718	0.7221	0.014442
719	0.7217	0.014434
720	0.7214	0.014428000000000002
721	0.721	0.01442
722	0.7207	0.014414
723	0.7203	0.014406000000000002
724	0.72	0.0144
725	0.7197	0.014394
726	0.7193	0.014386000000000001
727	0.719	0.01438
728	0.7187	0.014374
729	0.7183	0.014366000000000002
730	0.718	0.01436
731	0.7177	0.014354
732	0.7174	0.014348000000000001
733	0.717	0.01434
734	0.7166	0.014332000000000001
735	0.7162	0.014324
736	0.7158	0.014316
737	0.7154	0.014308000000000001
738	0.7149	0.014298
739	0.7145	0.01429
740	0.7141	0.014282
741	0.7137	0.014274
742	0.7133	0.014266000000000001
743	0.7129	0.014258
744	0.7125	0.01425
745	0.7121	0.014242
746	0.7117	0.014234
747	0.7113	0.014226
748	0.7109	0.014218
749	0.7105	0.01421
750	0.7101	0.014202
751	0.7098	0.014196
752	0.7094	0.014188000000000001
753	0.709	0.01418
754	0.7086	0.014172
755	0.7082	0.014164000000000001
756	0.7078	0.014156
757	0.7074	0.014148
758	0.7069	0.014138
759	0.7065	0.01413
760	0.7061	0.014122
761	0.7057	0.014114
762	0.7053	0.014106
763	0.7049	0.014098
764	0.7045	0.01409
765	0.704	0.014079999999999999
766	0.7036	0.014072000000000001
767	0.7032	0.014064000000000002
768	0.7028	0.014055999999999999
769	0.7023	0.014046000000000001
770	0.7019	0.014038
771	0.7015	0.01403
772	0.7011	0.014022
773	0.7006	0.014012
774	0.7002	0.014004
775	0.6998	0.013996
776	0.6993	0.013986
777	0.6989	0.013977999999999999
778	0.6984	0.013968000000000001
779	0.698	0.01396
780	0.6975	0.01395
781	0.6971	0.013942000000000001
782	0.6966	0.013932
783	0.6962	0.013924
784	0.6957	0.013914
785	0.6953	0.013906000000000002
786	0.6948	0.013896
787	0.6944	0.013888000000000001
788	0.6939	0.013878
789	0.6935	0.01387
790	0.6931	0.013862000000000001
791	0.6927	0.013854
792	0.6922	0.013844
793	0.6918	0.013836
794	0.6914	0.013828
795	0.691	0.013819999999999999
796	0.6906	0.013812
797	0.6902	0.013804
798	0.6899	0.013798
799	0.6895	0.01379
800	0.6891	0.013782
801	0.6887	0.013774
802	0.6884	0.013768
803	0.688	0.01376
804	0.6876	0.013752
805	0.6872	0.013744000000000001
806	0.6869	0.013738
807	0.6865	0.013730000000000001
808	0.6862	0.013724
809	0.6858	0.013715999999999999
810	0.6854	0.013708
811	0.685	0.013700000000000002
812	0.6846	0.013692
813	0.6842	0.013684000000000002
814	0.6838	0.013675999999999999
815	0.6834	0.013668
816	0.683	0.013660000000000002
817	0.6827	0.013654
818	0.6823	0.013646
819	0.6819	0.013637999999999999
820	0.6816	0.013632
821	0.6812	0.013624
822	0.6809	0.013618
823	0.6805	0.01361
824	0.6802	0.013604000000000002
825	0.6798	0.013595999999999999
826	0.6795	0.01359
827	0.6791	0.013582
828	0.6788	0.013576
829	0.6784	0.013568
830	0.678	0.013560000000000001
831	0.6777	0.013554
832	0.6773	0.013546
833	0.6769	0.013538
834	0.6765	0.01353
835	0.6761	0.013522000000000001
836	0.6757	0.013514
837	0.6753	0.013506
838	0.6749	0.013498000000000001
839	0.6745	0.01349
840	0.6741	0.013482000000000001
841	0.6737	0.013474
842	0.6733	0.013466
843	0.6729	0.013458000000000001
844	0.6724	0.013448
845	0.672	0.01344
846	0.6716	0.013432
847	0.6712	0.013424
848	0.6707	0.013413999999999999
849	0.6703	0.013406000000000001
850	0.6699	0.013398000000000002
851	0.6695	0.013389999999999999
852	0.6691	0.013382000000000002
853	0.6687	0.013373999999999999
854	0.6683	0.013366000000000001
855	0.6679	0.013358000000000002
856	0.6675	0.01335
857	0.6671	0.013342000000000001
858	0.6667	0.013333999999999999
859	0.6663	0.013326000000000001
860	0.6659	0.013318000000000002
861	0.6655	0.01331
862	0.6651	0.013302000000000001
863	0.6647	0.013294
864	0.6643	0.013286000000000001
865	0.664	0.01328
866	0.6636	0.013271999999999999
867	0.6632	0.013264
868	0.6628	0.013255999999999999
869	0.6624	0.013248
870	0.662	0.013240000000000002
871	0.6617	0.013234
872	0.6613	0.013226
873	0.6609	0.013218
874	0.6605	0.01321
875	0.66	0.013200000000000002
876	0.6596	0.013191999999999999
877	0.6592	0.013184000000000001
878	0.6588	0.013176000000000002
879	0.6583	0.013166
880	0.6579	0.013158000000000001
881	0.6574	0.013148
882	0.657	0.01314
883	0.6566	0.013132
884	0.6561	0.013122
885	0.6557	0.013113999999999999
886	0.6553	0.013106
887	0.6548	0.013096000000000002
888	0.6544	0.013088
889	0.654	0.013080000000000001
890	0.6536	0.013072
891	0.6531	0.013062
892	0.6527	0.013054
893	0.6523	0.013046
894	0.6519	0.013038000000000001
895	0.6515	0.01303
896	0.6511	0.013022
897	0.6507	0.013014
898	0.6503	0.013006
899	0.65	0.013000000000000001
900	0.6496	0.012992
901	0.6492	0.012984
902	0.6488	0.012976000000000001
903	0.6485	0.012969999999999999
904	0.6481	0.012962000000000001
905	0.6478	0.012956
906	0.6474	0.012948
907	0.647	0.01294
908	0.6467	0.012934000000000001
909	0.6463	0.012926
910	0.646	0.012920000000000001
911	0.6456	0.012912
912	0.6452	0.012904
913	0.6449	0.012898000000000001
914	0.6445	0.012889999999999999
915	0.6441	0.012882000000000001
916	0.6437	0.012874000000000002
917	0.6433	0.012866
918	0.6429	0.012858000000000001
919	0.6425	0.01285
920	0.6421	0.012842000000000001
921	0.6417	0.012834000000000002
922	0.6413	0.012826
923	0.6408	0.012816000000000001
924	0.6404	0.012808
925	0.64	0.0128
926	0.6396	0.012792
927	0.6392	0.012784
928	0.6388	0.012776000000000001
929	0.6383	0.012766
930	0.6379	0.012758
931	0.6375	0.01275
932	0.6371	0.012742
933	0.6367	0.012734
934	0.6363	0.012726
935	0.6359	0.012718
936	0.6355	0.012709999999999999
937	0.6351	0.012702
938	0.6347	0.012694
939	0.6343	0.012686
940	0.6338	0.012676000000000002
941	0.6335	0.012669999999999999
942	0.6331	0.012662
943	0.6327	0.012654
944	0.6323	0.012646
945	0.6319	0.012638
946	0.6316	0.012632
947	0.6312	0.012624
948	0.6309	0.012618
949	0.6305	0.01261
950	0.6301	0.012602
951	0.6298	0.012596000000000001
952	0.6294	0.012588
953	0.629	0.012580000000000001
954	0.6286	0.012572000000000002
955	0.6283	0.012565999999999999
956	0.6279	0.012558
957	0.6275	0.012549999999999999
958	0.6271	0.012542
959	0.6266	0.012532000000000001
960	0.6262	0.012524
961	0.6258	0.012516000000000001
962	0.6253	0.012506
963	0.6249	0.012498
964	0.6244	0.012487999999999999
965	0.624	0.01248
966	0.6236	0.012472
967	0.6231	0.012462
968	0.6227	0.012454000000000002
969	0.6222	0.012444
970	0.6218	0.012436000000000001
971	0.6214	0.012428
972	0.6209	0.012418
973	0.6205	0.012410000000000001
974	0.6201	0.012402
975	0.6197	0.012394
976	0.6193	0.012386
977	0.6189	0.012378
978	0.6185	0.01237
979	0.6181	0.012362
980	0.6177	0.012354
981	0.6174	0.012348
982	0.617	0.01234
983	0.6166	0.012332000000000001
984	0.6162	0.012324
985	0.6158	0.012316
986	0.6155	0.012310000000000001
987	0.6151	0.012302
988	0.6147	0.012294000000000001
989	0.6143	0.012286
990	0.6139	0.012278
991	0.6136	0.012272000000000002
992	0.6132	0.012263999999999999
993	0.6128	0.012256000000000001
994	0.6124	0.012248000000000002
995	0.612	0.012240000000000001
996	0.6116	0.012232000000000002
997	0.6112	0.012223999999999999
998	0.6109	0.012218
999	0.6105	0.01221
1000	0.6101	0.012202
1001	0.6097	0.012194
1002	0.6093	0.012185999999999999
1003	0.6089	0.012178
1004	0.6085	0.01217
1005	0.6081	0.012162
1006	0.6077	0.012154
1007	0.6073	0.012145999999999999
1008	0.6069	0.012138
1009	0.6065	0.012130000000000002
1010	0.6061	0.012121999999999999
1011	0.6057	0.012114
1012	0.6053	0.012105999999999999
1013	0.6049	0.012098
1014	0.6045	0.012090000000000002
1015	0.6041	0.012081999999999999
1016	0.6037	0.012074000000000001
1017	0.6033	0.012065999999999999
1018	0.6029	0.012058
1019	0.6025	0.012050000000000002
1020	0.6021	0.012041999999999999
1021	0.6017	0.012034000000000001
1022	0.6013	0.012025999999999998
1023	0.6009	0.012018000000000001
1024	0.6004	0.012008000000000001
1025	0.6	0.012
1026	0.5996	0.011992000000000001
1027	0.5992	0.011984
1028	0.5988	0.011976
1029	0.5983	0.011966000000000001
1030	0.5979	0.011958
1031	0.5975	0.01195
1032	0.597	0.01194
1033	0.5966	0.011932
1034	0.5962	0.011923999999999999
1035	0.5958	0.011916
1036	0.5953	0.011906000000000002
1037	0.5949	0.011898
1038	0.5945	0.011890000000000001
1039	0.594	0.01188
1040	0.5936	0.011872
1041	0.5932	0.011864
1042	0.5928	0.011856
1043	0.5924	0.011848000000000001
1044	0.592	0.01184
1045	0.5916	0.011832
1046	0.5911	0.011822
1047	0.5907	0.011814
1048	0.5903	0.011806
1049	0.5899	0.011798
1050	0.5895	0.01179
1051	0.5891	0.011781999999999999
1052	0.5887	0.011774
1053	0.5884	0.011768
1054	0.588	0.01176
1055	0.5876	0.011752
1056	0.5872	0.011744000000000001
1057	0.5868	0.011736
1058	0.5864	0.011728
1059	0.586	0.01172
1060	0.5856	0.011712
1061	0.5852	0.011704
1062	0.5849	0.011698
1063	0.5845	0.01169
1064	0.5841	0.011682
1065	0.5837	0.011674
1066	0.5833	0.011666000000000001
1067	0.5829	0.011658
1068	0.5826	0.011652000000000001
1069	0.5822	0.011644000000000002
1070	0.5818	0.011636
1071	0.5814	0.011628000000000001
1072	0.581	0.01162
1073	0.5807	0.011614
1074	0.5803	0.011606000000000002
1075	0.5799	0.011597999999999999
1076	0.5795	0.011590000000000001
