#Depth	#Thinning	#error
806.85	0.7549	0.05
808.5	0.7541	0.05
810.15	0.7535	0.05
811.8	0.7527	0.05
813.45	0.752	0.05
815.1	0.7511	0.05
816.75	0.75	0.05
818.4	0.7491	0.05
820.05	0.7487	0.05
821.7	0.7482	0.05
823.35	0.7477	0.05
825	0.7472	0.05
826.65	0.7466	0.05
828.3	0.7458	0.05
829.95	0.7448	0.05
831.6	0.7437	0.05
833.25	0.743	0.05
834.9	0.7426	0.05
836.55	0.7418	0.05
838.2	0.7409	0.05
839.85	0.7402	0.05
841.5	0.7394	0.05
843.15	0.7386	0.05
844.8	0.7378	0.05
846.45	0.7373	0.05
848.1	0.7368	0.05
849.75	0.736	0.05
851.4	0.7352	0.05
853.05	0.7344	0.05
854.7	0.7337	0.05
856.35	0.7331	0.05
858	0.7326	0.05
859.65	0.7319	0.05
861.3	0.7314	0.05
862.95	0.7307	0.05
864.6	0.73	0.05
866.25	0.7292	0.05
867.9	0.7287	0.05
869.55	0.7285	0.05
871.2	0.7282	0.05
872.85	0.7279	0.05
874.5	0.7277	0.05
876.15	0.7275	0.05
877.8	0.727	0.05
879.45	0.7268	0.05
881.1	0.7263	0.05
882.75	0.7258	0.05
884.4	0.7259	0.05
886.05	0.7258	0.05
887.7	0.7254	0.05
889.35	0.7247	0.05
891	0.724	0.05
892.65	0.7233	0.05
894.3	0.7227	0.05
895.95	0.7221	0.05
897.6	0.7218	0.05
899.25	0.7211	0.05
900.9	0.7205	0.05
902.55	0.72	0.05
904.2	0.7193	0.05
905.85	0.7188	0.05
907.5	0.7179	0.05
909.15	0.7172	0.05
910.8	0.7171	0.05
912.45	0.717	0.05
914.1	0.7164	0.05
915.75	0.7158	0.05
917.4	0.7152	0.05
919.05	0.715	0.05
920.7	0.7147	0.05
922.35	0.7137	0.05
924	0.7136	0.05
925.65	0.7138	0.05
927.3	0.7141	0.05
928.95	0.714	0.05
930.6	0.7132	0.05
932.25	0.7131	0.05
933.9	0.7131	0.05
935.55	0.7127	0.05
937.2	0.713	0.05
938.85	0.7128	0.05
940.5	0.7122	0.05
942.15	0.7113	0.05
943.8	0.7102	0.05
945.45	0.7095	0.05
947.1	0.7093	0.05
948.75	0.7088	0.05
950.4	0.7082	0.05
952.05	0.7075	0.05
953.7	0.7065	0.05
955.35	0.7055	0.05
957	0.7045	0.05
958.65	0.7034	0.05
960.3	0.7028	0.05
961.95	0.7024	0.05
963.6	0.7017	0.05
965.25	0.701	0.05
