#acquired from GICC file, rel_unc is 0.01% of LID. 
depth	LID	rel_unc	comment
1013.27	65.38	0.6537999999999999	
1014.605	65.36	0.6536	
1015.94	65.89	0.6589	
1017.255	66.09	0.6609	
1018.57	65.91	0.6591	
1020.0935	65.7	0.657	
1021.34	65.76	0.6576000000000001	
1022.695	65.71	0.6570999999999999	
1024.05	65.71	0.6570999999999999	
1025.485	65.61	0.6561	
1026.92	65.59	0.6559	
1028.245	65.63	0.6563	
1029.57	65.68	0.6568	
1030.85	65.44	0.6544	
1032.13	65.38	0.6537999999999999	
1033.445	65.01	0.6501	
1034.76	65.07	0.6507	
1035.96	65.17	0.6517000000000001	
1037.16	65.15	0.6515000000000001	
1038.485	65.22	0.6522	
1039.81	65.1	0.6509999999999999	
1041.0695	65.13	0.6513	
1042.1	65.16	0.6516	
1043.525	65.2	0.652	
1044.95	64.96	0.6496	
1046.18	64.92	0.6492	
1047.41	65.23	0.6523000000000001	
1048.685	65.32	0.6531999999999999	
1049.96	65.1	0.6509999999999999	
1051.3	65.13	0.6513	
1052.64	64.89	0.6489	
1053.895	65.15	0.6515000000000001	
1055.15	65.24	0.6524	
1056.395	65.08	0.6508	
1057.64	65.01	0.6501	
1058.955	64.85	0.6485	
1060.27	65.15	0.6515000000000001	
1061.65	65.05	0.6505	
1063.1685	65.25	0.6525	
1064.415	65.4	0.654	
1065.8	65.41	0.6541	
1066.985	65.48	0.6548	
1068.2955	65.46	0.6546	
1069.425	65.33	0.6533	
1070.5545	65.15	0.6515000000000001	
1071.865	65.48	0.6548	
1073.05	65.52	0.6552	
1074.365	65.44	0.6544	
1075.68	65.64	0.6564	
1077.06	66.04	0.6604000000000001	
1078.5645	66.14	0.6614	
1079.685	65.83	0.6583	
1080.93	65.73	0.6573000000000001	
1082.245	65.79	0.6579	
1083.56	65.73	0.6573000000000001	
1084.73	65.72	0.6572	
1085.783	65.59	0.6559	
1087.165	65.32	0.6531999999999999	
1088.2	65.21	0.6520999999999999	
1089.49	65.08	0.6508	
1090.78	65.06	0.6506000000000001	
1092.085	65.0	0.65	
1093.39	64.91	0.6491	
1094.5915	65.25	0.6525	
1096.06	65.56	0.6556000000000001	
1097.2975	65.68	0.6568	
1098.31	65.64	0.6564	
1099.545	65.69	0.6569	
1100.78	65.7	0.657	
1101.985	65.46	0.6546	
1103.0695	65.16	0.6516	
1104.44	64.9	0.649	
1105.69	65.18	0.6518	
1107.045	65.1	0.6509999999999999	
1108.4	65.17	0.6517000000000001	
1109.7	65.08	0.6508	
1111.0	64.69	0.6469	
1112.265	64.47	0.6447	
1113.53	64.84	0.6484000000000001	
1114.73	65.11	0.6511	
1115.93	65.27	0.6527	
1117.17	65.18	0.6518	
1118.41	65.41	0.6541	
1119.76	65.32	0.6531999999999999	
1121.11	64.78	0.6478	
1122.335	64.87	0.6487	
1123.56	65.19	0.6519	
1124.785	65.48	0.6548	
1126.01	65.67	0.6567000000000001	
1127.28	65.58	0.6558	
1128.55	65.96	0.6596	
1129.585	65.84	0.6584000000000001	
1130.85	65.98	0.6598	
1132.035	66.02	0.6602	
1133.1015	65.89	0.6589	
1134.5565	65.6	0.6559999999999999	
1135.65	65.71	0.6570999999999999	
1136.815	65.54	0.6554000000000001	
1137.98	65.5	0.655	
1139.105	65.47	0.6547	
1140.23	65.59	0.6559	
1141.5115	65.78	0.6578	
1142.56	65.83	0.6583	
1143.765	65.62	0.6562	
1144.97	65.15	0.6515000000000001	
1146.0995	65.0	0.65	
1147.48	65.07	0.6507	
1148.715	65.25	0.6525	
1149.95	65.12	0.6512000000000001	
1151.165	64.94	0.6494	
1152.2585	65.04	0.6504000000000001	
1153.585	64.83	0.6483	
1154.79	64.65	0.6465000000000001	
1155.95	64.71	0.6470999999999999	
1157.11	64.64	0.6464	
1158.245	64.43	0.6443000000000001	
1159.38	64.24	0.6424	
1160.6	64.73	0.6473000000000001	
1161.82	65.02	0.6502	
1163.01	65.15	0.6515000000000001	
1164.2	64.89	0.6489	
1165.49	64.88	0.6487999999999999	
1166.78	65.03	0.6503	
1167.915	65.14	0.6514	
1169.05	64.96	0.6496	
1170.2	64.78	0.6478	
1171.35	64.76	0.6476000000000001	
1172.5	64.89	0.6489	
1173.65	65.01	0.6501	
1174.855	65.12	0.6512000000000001	
1175.9395	65.0	0.65	
1177.3635	64.98	0.6498	
1178.3115	64.94	0.6494	
1179.635	64.89	0.6489	
1180.84	65.08	0.6508	
1181.89	65.1	0.6509999999999999	
1182.94	65.09	0.6509	
1184.095	65.07	0.6507	
1185.25	65.0	0.65	
1186.63	64.97	0.6497	
1188.01	64.99	0.6498999999999999	
1189.225	64.84	0.6484000000000001	
1190.44	64.71	0.6470999999999999	
1191.52	64.7	0.647	
1192.492	64.76	0.6476000000000001	
1193.8045	64.58	0.6458	
1194.79	64.44	0.6444	
1195.89	64.45	0.6445000000000001	
1196.99	64.61	0.6461	
1198.14	64.84	0.6484000000000001	
1199.29	64.83	0.6483	
1200.405	64.77	0.6476999999999999	
1201.622	64.77	0.6476999999999999	
1202.54	64.84	0.6484000000000001	
1203.56	64.86	0.6486	
1204.55	64.79	0.6479	
1205.76	64.95	0.6495000000000001	
1207.08	64.91	0.6491	
1208.4	64.87	0.6487	
1209.57	64.84	0.6484000000000001	
1210.74	64.52	0.6452	
1211.945	64.16	0.6416	
1213.2625	63.79	0.6379	
1214.275	63.92	0.6392	
1215.4	64.09	0.6409	
1216.505	64.51	0.6451000000000001	
1217.61	64.66	0.6466	
1218.725	64.98	0.6498	
1219.84	64.8	0.648	
1221.025	64.84	0.6484000000000001	
1222.21	64.78	0.6478	
1223.275	64.89	0.6489	
1224.34	65.02	0.6502	
1225.445	65.27	0.6527	
1226.55	65.57	0.6557	
1227.68	65.63	0.6563	
1228.81	65.45	0.6545000000000001	
1229.85	65.27	0.6527	
1230.89	65.22	0.6522	
1231.975	64.99	0.6498999999999999	
1233.06	64.4	0.644	
1234.2205	64.17	0.6417	
1235.17	64.07	0.6406999999999999	
1236.315	64.05	0.6405	
1237.46	64.28	0.6428	
1238.79	64.52	0.6452	
1240.12	64.69	0.6469	
1241.265	64.47	0.6447	
1242.41	64.14	0.6414	
1243.535	64.22	0.6422	
1244.91	64.24	0.6424	
1245.985	64.18	0.6418	
1247.06	64.22	0.6422	
1248.0635	64.33	0.6433	
1249.29	64.4	0.644	
1250.445	64.71	0.6470999999999999	
1251.4845	65.02	0.6502	
1252.745	65.55	0.6555	
1253.89	65.59	0.6559	
1254.995	65.59	0.6559	
1256.1	65.18	0.6518	
1257.285	65.14	0.6514	
1258.47	65.16	0.6516	
1259.705	65.2	0.652	
1260.94	64.9	0.649	
1262.16	64.35	0.6435	
1263.38	64.44	0.6444	
1264.3565	64.59	0.6459	
1265.55	64.95	0.6495000000000001	
1266.73	65.04	0.6504000000000001	
1268.0055	64.83	0.6483	
1268.865	64.8	0.648	
1269.82	65.13	0.6513	
1270.85	65.42	0.6542	
1271.986	65.41	0.6541	
1272.94	65.31	0.6531	
1274.0	65.28	0.6528	
1274.9945	65.3	0.653	
1276.21	65.35	0.6535	
1277.585	65.54	0.6554000000000001	
1278.71	65.64	0.6564	
1279.73	65.58	0.6558	
1280.75	65.23	0.6523000000000001	
1281.9	65.08	0.6508	
1283.05	65.07	0.6507	
1284.21	64.96	0.6496	
1285.37	65.0	0.65	
1286.78	64.78	0.6478	
1288.294	64.46	0.6446	
1289.23	64.27	0.6426999999999999	
1290.27	64.45	0.6445000000000001	
1291.395	64.79	0.6479	
1292.4075	64.77	0.6476999999999999	
1293.873	64.68	0.6468	
1294.98	65.31	0.6531	
1296.01	65.61	0.6561	
1297.04	65.57	0.6557	
1298.371	65.28	0.6528	
1299.57	65.14	0.6514	
1300.56	65.41	0.6541	
1301.66	65.74	0.6574	
1302.578	66.24	0.6624	
1303.7	66.43	0.6643000000000001	
1304.82	66.93	0.6693000000000001	
1305.94	67.2	0.672	
1307.025	67.45	0.6745	
1308.11	67.36	0.6736	
1309.175	66.83	0.6683	
1310.24	66.65	0.6665000000000001	
1311.461	66.47	0.6647	
1312.46	66.37	0.6637000000000001	
1313.445	66.43	0.6643000000000001	
1314.43	66.45	0.6645000000000001	
1315.575	66.22	0.6622	
1316.72	66.38	0.6638	
1317.72	66.44	0.6644	
1318.72	66.41	0.6641	
1319.6965	66.2	0.662	
1320.89	66.08	0.6607999999999999	
1321.99	66.01	0.6601	
1323.09	66.31	0.6631	
1324.1	66.28	0.6628000000000001	
1325.11	66.19	0.6619	
1326.045	66.36	0.6636	
1326.98	66.79	0.6679	
1327.9	66.81	0.6681	
1328.82	67.26	0.6726000000000001	
1329.82	67.52	0.6752	
1330.82	67.65	0.6765000000000001	
1331.705	67.48	0.6748000000000001	
1332.59	67.54	0.6754000000000001	
1333.505	67.65	0.6765000000000001	
1334.5155	67.72	0.6772	
1335.375	67.85	0.6785	
1336.33	67.91	0.6790999999999999	
1337.39	67.67	0.6767000000000001	
1338.45	67.68	0.6768000000000001	
1339.475	67.36	0.6736	
1340.5	67.31	0.6731	
1341.59	67.28	0.6728000000000001	
1342.68	66.97	0.6697	
1343.75	66.71	0.6670999999999999	
1344.82	66.66	0.6666	
1345.795	66.52	0.6652	
1346.77	66.33	0.6633	
1347.76	66.33	0.6633	
1348.75	66.34	0.6634000000000001	
1349.632	65.97	0.6597	
1350.71	65.56	0.6556000000000001	
1351.73	65.26	0.6526000000000001	
1352.75	65.15	0.6515000000000001	
1353.605	65.23	0.6523000000000001	
1354.65	65.47	0.6547	
1355.72	66.14	0.6614	
1356.79	66.56	0.6656000000000001	
1357.745	66.57	0.6657	
1358.7	66.92	0.6692	
1359.71	66.86	0.6686	
1360.72	66.4	0.664	
1361.785	66.13	0.6613	
1362.85	65.82	0.6581999999999999	
1363.83	65.44	0.6544	
1364.81	65.36	0.6536	
1365.835	65.34	0.6534000000000001	
1366.86	65.26	0.6526000000000001	
1367.84	65.25	0.6525	
1368.82	65.43	0.6543000000000001	
1369.795	65.47	0.6547	
1370.77	65.46	0.6546	
1371.745	65.49	0.6548999999999999	
1372.72	65.42	0.6542	
1373.8	65.52	0.6552	
1374.88	65.39	0.6539	
1375.903	65.39	0.6539	
1376.647	65.23	0.6523000000000001	
1377.765	65.52	0.6552	
1378.79	65.67	0.6567000000000001	
1379.765	65.85	0.6585	
1380.74	66.06	0.6606000000000001	
1381.8	65.92	0.6592	
1382.86	65.84	0.6584000000000001	
1383.724	65.9	0.659	
1384.78	65.87	0.6587000000000001	
1385.626	65.74	0.6574	
1386.66	65.64	0.6564	
1387.62	65.57	0.6557	
1388.58	65.64	0.6564	
1389.59	65.98	0.6598	
1390.6	65.98	0.6598	
1391.58	66.02	0.6602	
1392.657	65.78	0.6578	
1393.53	65.84	0.6584000000000001	
1394.403	65.62	0.6562	
1395.42	65.71	0.6570999999999999	
1396.34	65.95	0.6595000000000001	
