Depth	DEP	ECM	Age
Top (m)	(uS/m)	(uM)	Top (yr BP)

521.40	19.1026	0.9342	2373
521.95	20.6818	1.4072	2376
522.50	20.1341	1.5397	2379
523.05	19.4475	1.8082	2381
523.60	16.6200	0.8273	2384
524.15	18.6747	0.8885	2387
524.70	20.0337	1.5776	2390
525.25	17.1818	1.0918	2393
525.80	18.4867	1.4501	2396
526.35	30.4978	4.4574	2399
526.90	18.9836	1.1990	2402
527.45	16.2793	1.2603	2405
528.00	18.9850	1.2882	2409
528.55	21.4348	1.5536	2411
529.10	20.6261	1.6440	2414
529.65	18.8741	1.4201	2418
530.20	18.6546	1.2058	2420
530.75	20.6885	1.4995	2423
531.30	20.4122	1.6250	2426
531.85	20.2736	1.2197	2430
532.40	20.7811	1.5743	2433
532.95	18.2989	1.1606	2435
533.50	19.7541	0.6374	2438
534.05	24.6864	1.1989	2442
534.60	19.6563	0.9610	2444
535.15	19.0629	0.6496	2447
535.70	20.0015	1.0626	2450
536.25	22.2625	1.4836	2453
536.80	19.9507	1.2072	2456
537.35	17.0911	0.8610	2459
537.90	20.7230	1.5253	2462
538.45	23.1911	2.2655	2465
539.00	20.9196	1.6624	2468
539.55	18.2279	1.1115	2471
540.10	17.6674	0.9126	2474
540.65	19.4248	0.9655	2477
541.20	17.4611	0.8953	2480
541.75	20.0719	1.4349	2483
542.30	18.4875	1.3661	2486
542.85	19.5365	1.5061	2489
543.40	19.6796	1.1354	2492
