#from EDML LC as of Sep 24, 2025. Unc from the original MCE / 5 to account for volcanic alignment.
depth	age	age_unc	comment
170.672	2041.0	10.3	
170.761	2042.0	10.3	
170.845	2043.0	10.3	
170.881	2044.0	10.3	
170.934	2045.0	10.3	
170.991	2046.0	10.3	
171.058	2047.0	10.3	
171.15	2048.0	10.3	
171.186	2049.0	10.4	
171.239	2050.0	10.4	
171.306	2051.0	10.4	
171.379	2052.0	10.4	
171.429	2053.0	10.4	
171.515	2054.0	10.4	
171.55	2055.0	10.5	
171.606	2056.0	10.5	
171.649	2057.0	10.5	
171.686	2058.0	10.5	
171.784	2059.0	10.5	
171.83	2060.0	10.5	
171.895	2061.0	10.5	
171.933	2062.0	10.5	
172.024	2063.0	10.5	
172.08	2064.0	10.5	
172.123	2065.0	10.5	
172.233	2066.0	10.5	
172.3	2067.0	10.5	
172.387	2068.0	10.5	
172.468	2069.0	10.5	
172.544	2070.0	10.5	
172.617	2071.0	10.5	
172.691	2072.0	10.5	
172.769	2073.0	10.5	
172.874	2074.0	10.5	
172.929	2075.0	10.5	
173.009	2076.0	10.5	
173.086	2077.0	10.5	
173.143	2078.0	10.5	
173.193	2079.0	10.5	
173.25	2080.0	10.5	
173.304	2081.0	10.5	
173.375	2082.0	10.5	
173.415	2083.0	10.5	
173.469	2084.0	10.5	
173.516	2085.0	10.5	
173.587	2086.0	10.5	
173.637	2087.0	10.5	
173.734	2088.0	10.5	
173.822	2089.0	10.5	
173.887	2090.0	10.5	
173.939	2091.0	10.5	
173.999	2092.0	10.5	
174.072	2093.0	10.5	
174.139	2094.0	10.5	
174.223	2095.0	10.5	
174.29	2096.0	10.5	
174.37	2097.0	10.5	
174.436	2098.0	10.5	
174.522	2099.0	10.5	
174.585	2100.0	10.5	
174.651	2101.0	10.5	
174.693	2102.0	10.5	
174.723	2103.0	10.6	
174.777	2104.0	10.6	
174.86	2105.0	10.6	
174.934	2106.0	10.7	
174.978	2107.0	10.7	
175.019	2108.0	10.7	
175.059	2109.0	10.7	
175.101	2110.0	10.7	
175.161	2111.0	10.7	
175.221	2112.0	10.7	
175.275	2113.0	10.8	
175.313	2114.0	10.8	
175.393	2115.0	10.8	
175.455	2116.0	10.8	
175.52	2117.0	10.8	
175.582	2118.0	10.8	
175.637	2119.0	10.8	
175.736	2120.0	10.8	
175.773	2121.0	10.8	
175.819	2122.0	10.8	
175.906	2123.0	10.8	
175.969	2124.0	10.8	
176.022	2125.0	10.8	
176.083	2126.0	10.8	
176.146	2127.0	10.8	
176.222	2128.0	10.8	
176.327	2129.0	10.8	
176.367	2130.0	10.8	
176.42	2131.0	10.8	
176.528	2132.0	10.8	
176.586	2133.0	10.8	
176.67	2134.0	10.8	
176.77	2135.0	10.8	
176.818	2136.0	10.8	
176.875	2137.0	10.8	
176.946	2138.0	10.8	
