depth,dep
154.08,19.67
154.1,20.71
154.12,22.01
154.14,24.86
154.16,25.1
154.18,24.51
154.2,24.66
154.22,22.69
154.24,20.52
154.26,19.79
154.28,17.44
154.3,18.38
154.32,18.56
154.34,18.65
154.36,18.16
154.38,19.31
154.4,21.21
154.42,20.51
154.44,20.77
154.46,20.49
154.48,18.86
154.5,20.13
154.52,20.03
154.54,21.23
154.56,22.34
154.58,22.88
154.6,25.11
154.62,24.9
154.64,24.35
154.66,23.12
154.68,21.46
154.7,21.54
154.72,21.07
154.74,19.98
154.76,19.63
154.78,19.53
154.8,20.86
154.82,22.89
154.84,20.86
154.86,22.74
154.88,22.14
154.9,20.69
154.92,19.04
154.94,18.53
154.96,17.05
154.98,16.62
155.0,17.93
155.02,17.28
155.04,14.4
155.07,14.99
155.09,15.92
155.11,17.88
155.13,19.61
155.15,19.66
155.17,21.45
155.19,20.91
155.21,19.92
155.23,18.95
155.25,17.82
155.27,17.74
155.29,18.53
155.31,17.66
155.33,19.38
155.35,20.23
155.37,21.41
155.39,21.79
155.41,18.61
155.43,21.36
155.45,22.87
155.47,21.97
155.49,22.59
155.51,20.72
155.53,21.67
155.55,21.45
155.57,22.05
155.59,20.39
155.61,18.82
155.63,18.28
155.65,18.33
155.67,17.59
155.69,16.0
155.71,16.29
155.73,16.18
155.75,17.35
155.77,18.33
155.79,18.66
155.81,19.62
155.83,21.86
155.85,23.64
155.87,23.34
155.89,22.63
155.91,21.45
155.93,21.12
155.95,17.68
155.97,15.92
155.99,15.26
156.01,15.82
156.03,16.03
156.05,16.37
156.07,16.24
156.09,17.18
156.11,19.89
156.13,22.47
156.15,22.56
156.17,22.95
156.19,23.8
156.21,21.19
156.23,20.75
156.25,19.89
156.27,19.53
156.29,18.57
156.31,17.46
156.33,18.18
156.35,17.96
156.37,18.51
156.39,21.39
156.41,20.91
156.43,22.61
156.45,21.49
156.47,19.65
156.49,19.74
156.51,18.49
156.53,18.04
156.55,19.66
156.57,17.45
156.59,18.14
156.61,19.84
156.63,17.81
156.65,19.59
156.67,17.95
156.69,20.76
156.71,20.47
156.73,19.53
156.75,18.94
156.77,20.04
156.78,16.81
156.8,19.65
156.82,21.11
156.84,20.09
156.86,20.7
156.88,21.39
156.9,18.3
156.92,17.64
156.94,17.97
156.96,17.01
156.98,17.94
157.0,20.65
157.02,19.51
157.04,19.31
157.06,20.26
157.08,19.53
157.1,19.73
157.12,19.23
157.14,18.78
157.16,18.73
157.18,17.6
157.2,19.51
157.22,19.45
157.24,19.06
157.26,18.33
157.28,16.97
157.3,16.03
157.32,15.68
157.34,17.01
157.36,17.09
157.38,16.88
157.4,17.26
157.42,16.13
157.44,16.66
157.46,17.88
157.48,18.83
157.5,20.47
157.52,18.58
157.54,19.3
157.56,19.13
157.58,18.38
157.6,19.4
157.62,19.53
157.64,19.64
157.66,19.51
157.68,18.18
157.7,19.08
157.72,20.76
157.74,21.74
157.76,22.2
157.78,20.54
157.8,19.51
157.82,19.02
157.84,18.53
157.86,16.84
157.88,17.36
157.9,18.72
157.92,17.86
157.94,18.67
157.96,19.73
157.98,20.63
158.0,22.31
158.02,19.82
158.04,20.56
158.06,20.94
158.08,20.13
158.1,18.97
158.12,18.25
158.14,17.9
158.16,17.74
158.18,17.07
158.2,17.1
158.22,16.87
158.24,17.03
158.26,18.18
158.28,19.2
158.3,18.25
158.32,21.56
158.34,22.4
158.36,21.41
158.38,19.43
158.4,19.63
158.42,18.92
158.44,19.33
158.46,18.77
158.48,19.95
158.5,20.26
158.53,17.78
158.55,21.15
158.57,22.0
158.59,20.89
158.61,18.53
158.63,21.45
158.65,18.62
158.67,16.01
158.69,17.13
158.71,17.23
158.73,19.44
158.75,21.83
158.77,20.25
158.79,20.01
158.81,19.59
158.83,19.1
158.85,20.51
158.87,19.93
158.89,18.86
158.91,17.89
158.93,21.49
158.95,24.34
158.97,18.87
158.99,17.82
159.01,17.12
159.03,10.79
159.05,21.45
159.07,20.62
159.09,22.5
159.11,21.34
159.13,19.5
159.15,19.65
159.17,19.92
159.19,19.74
159.21,20.27
159.23,20.18
159.25,20.15
159.27,21.36
159.29,24.07
159.31,28.07
159.33,32.6
159.35,32.15
159.37,26.73
159.39,25.83
159.41,25.43
159.43,25.55
159.45,25.6
159.47,25.78
159.49,19.72
159.51,19.01
159.53,18.68
159.55,18.84
159.57,19.65
159.59,20.95
159.61,21.7
159.63,22.59
159.65,23.34
159.67,22.13
