GISP2 Electrical Conductivity Measurements

REFERENCES: 

Taylor, K.C., R.B. Alley, G.W. Lamorey, and P.A. Mayewski. 1997. Electrical
measurements on the Greenland Ice Sheet Project 2 core. Journal of
Geophysical Research 102:26511-26517.

Taylor, K.C., P.A. Mayewski, M.S. Twickler, and S.I. Whitlow. 1996. Biomass
burning recorded in the GISP2 ice core: A record from eastern Canada? The
Holocene 6(1):1-6.

Chylek, P., B. Johnson, P.A. Damiano, K.C. Taylor, and P. Clement. 1995.
Biomass burning record and black carbon in the GISP2 ice core. Geophysical
Research Letters 22:89-92.

Taylor, K.C., G.W. Lamorey, G.A. Doyle, R.B. Alley, P.M. Grootes, P.A.
Mayewski, J.W.C. White, and L.K. Barlow. 1993. The 'flickering switch' of
late Pleistocene climate change. Nature 361:432-436.

Taylor, K.C., R.B. Alley, R.J. Fiacco, P.M. Grootes, G.W. Lamorey, P.A.
Mayewski, and M.J. Spencer. 1992. Ice core dating and chemistry by direct
current electrical conductivity. Journal of Glaciology 38:325-332.

DATA DESCRIPTION: 

The ECM file ECMage.dat represents 0.5 meter averages of the data in the
b****.dat and d****.dat files.  The GISP2 B core was used for the first
100 meters; the D core thereafter.  All depths are D core depths, ages are
on the Meese/Sowers timescale.  See ECMinfo.txt and depthage.dat for
further information. 

DATA: 

Depth	ECM	Age
Top (m)	microamps	Top (yr BP 1950)
		
304.13	25.6342	1150.4
304.73	26.596	1152.7
305.31	26.2034	1155.2
305.87	26.8886	1157.7
306.46	27.0428	1159.8
307.15	20.3522	1163.0
307.81	19.9416	1165.5
308.35	23.913	1168.0
308.9	23.213	1170.2
309.45	20.8306	1172.6
310	25.8634	1175.5
310.56	26.0446	1178.1
311.11	26.6062	1180.3
311.67	25.6298	1182.9
312.22	28.477	1185.1
312.8	23.5102	1187.7
313.36	25.9088	1190.4
313.91	27.9242	1192.9
314.46	26.0332	1195.3
315.01	25.0794	1197.5
315.58	22.3414	1199.4
316.13	22.573	1201.8
316.68	24.572	1204.3
317.23	22.3944	1206.5
317.78	25.0814	1208.4
318.33	26.2674	1211.0
318.89	21.8874	1213.6
319.49	21.8124	1216.1
320.15	24.2596	1219.0
320.76	24.2336	1222.0
321.31	20.6816	1224.2
321.86	26.376	1226.8
322.41	24.0342	1229.3
322.98	26.6238	1232.0
323.54	25.9434	1234.6
324.11	25.2958	1237.6
324.66	26.672	1240.2
325.21	26.473	1242.9
325.79	25.7472	1246.0
326.37	23.6798	1248.5
326.94	30.1036	1250.9
327.52	29.3046	1253.5
328.11	27.0642	1256.1
328.66	27.1724	1258.3
329.21	21.2818	1261.1
329.78	26.584	1263.4
330.36	24.5494	1265.3
330.97	23.5628	1267.8
331.57	25.3966	1270.7
332.14	25.7608	1272.8
332.71	26.4372	1275.2
333.26	23.8028	1277.7
333.81	25.1796	1280.5
334.43	26.845	1283.4
335.13	28.695	1285.9
335.78	29.432	1289.1
336.33	28.4684	1291.4
336.89	30.8526	1294.0
337.44	33.4318	1296.0
337.99	27.345	1298.4
338.55	24.1108	1301.9
339.11	32.1898	1304.2
339.66	25.147	1307.0
340.22	33.3898	1309.3
340.81	26.1584	1311.3
341.36	29.756	1314.2
341.91	29.323	1316.6
342.46	22.637	1319.1
343.01	24.136	1321.6
343.56	22.4868	1323.9
344.11	21.988	1326.3
344.69	24.0198	1330.2
346.57	25.0286	1340.0
353.73	29.2952	1375.8
359.55	27.6456	1404.4
360.05	22.0892	1406.8
360.56	21.455	1409.1
361.11	24.3194	1411.8
361.65	22.6972	1414.3
362.15	31.923	1416.8
362.65	26.2942	1419.7
363.15	21.5948	1422.5
363.65	27.783	1425.0
364.15	32.1676	1426.7
364.67	27.48	1429.2
365.22	17.3034	1431.7
365.75	13.6698	1434.9
366.25	13.4786	1437.0
366.75	16.1806	1439.5
367.25	15.0172	1442.9
367.75	17.9432	1445.4
368.25	19.201	1447.9
368.78	17.4432	1450.9
369.33	17.301	1453.5
369.85	18.0848	1456.0
370.35	16.3566	1458.1
370.88	19.9944	1460.6
371.43	22.528	1463.5
371.95	24.401	1466.4
372.45	21.9232	1468.5
372.95	26.9184	1470.6
373.45	26.5832	1472.8
374	25.8034	1475.1
374.55	24.9118	1477.6
375.05	17.9826	1479.8
375.55	17.7302	1482.1
376.05	20.0454	1484.5
376.56	20.7424	1486.7
377.11	20.599	1489.6
377.65	19.5408	1492.0
378.15	24.4602	1494.1
378.65	19.7482	1496.6
379.15	19.6698	1498.9
379.65	21.4462	1501.3
380.15	20.8944	1503.5
380.67	22.526	1506.3
381.22	27.9572	1509.3
381.75	24.5316	1511.7
382.25	17.655	1514.3
382.75	22.2498	1516.4
383.25	15.714	1518.7
383.75	16.4074	1521.0
384.25	15.7624	1523.4
384.78	14.7956	1526.3
385.33	13.3014	1528.7
385.85	15.5684	1531.4
386.35	20.0244	1534.3
386.85	27.088	1536.4
387.35	26.6084	1539.2
389.05	21.664	1547.2
391.55	16.5848	1559.7
392.85	15.2212	1565.4
393.36	15.087	1567.4
395.51	19.9822	1578.0
397.65	16.9722	1588.2
398.15	17.5824	1590.4
398.65	17.9088	1593.6
399.15	17.4096	1596.5
399.67	18.345	1599.0
400.22	21.4072	1601.5
400.75	21.3048	1604.0
401.25	24.7742	1606.4
401.75	23.8096	1609.1
402.25	17.618	1612.2
402.75	21.1956	1614.3
403.25	25.1936	1616.2
403.75	25.2216	1618.7
404.25	24.4748	1621.0
404.78	19.672	1623.4
405.33	13.8872	1626.1
405.85	16.4816	1629.3
406.35	23.3688	1631.8
406.85	27.8036	1634.1
407.35	25.4312	1636.3
407.85	22.469	1638.5
408.35	24.1946	1641.8
408.89	35.9002	1644.5
409.44	23.6028	1647.4
409.95	20.3202	1650.0
410.45	17.6214	1652.8
410.95	22.4784	1655.4
411.45	21.6768	1658.2
411.95	24.3302	1660.5
412.45	22.7508	1662.9
413	22.3882	1665.5
413.55	20.109	1668.1
414.05	13.6056	1670.5
414.55	15.2062	1672.9
415.05	21.3448	1675.2
415.55	21.548	1677.7
416.05	20.3866	1679.8
416.56	23.8002	1682.9
417.11	23.6302	1686.0
417.65	22.0152	1688.7
418.15	15.8268	1691.0
418.65	19.3544	1693.4
419.15	25.452	1696.5
419.65	22.9028	1699.1
420.15	22.9184	1701.7
420.67	19.8568	1704.1
421.22	23.1172	1706.6
421.75	21.9628	1709.4
422.25	20.191	1712.0
422.79	22.8908	1714.5
423.34	31.802	1717.3
423.85	20.6448	1720.0
424.35	22.9548	1722.3
424.89	26.0622	1724.8
425.44	27.9874	1727.4
425.95	27.5364	1730.7
426.45	27.0686	1733.2
426.95	24.2614	1736.5
427.45	22.4642	1739.0
427.95	22.001	1741.1
428.45	26.0662	1743.2
429	24.5778	1745.8
429.55	22.6564	1748.4
430.05	19.8046	1751.4
430.55	22.506	1754.4
