# DOI: 10.5194/cp-7-1-2011
# Depth	Age	CH4	CH4_err
1261.975	58511	480.7	10.0
1263.015	58684	552.0	10.0
1263.045	58690	536.7	10.0
1263.075	58696	556.0	10.0
1263.575	58795	440.3	11.0
1265.615	59201	442.3	10.0
1265.645	59207	451.0	10.0
1265.975	59273	434.4	10.0
1267.575	59597	454.2	10.0
1269.975	60089	469.0	10.0
1273.615	60852	438.7	10.0
1273.975	60928	443.9	10.0
1275.015	61151	454.7	10.0
1275.045	61157	448.0	10.8
1275.075	61164	451.0	10.0
1275.105	61170	452.3	10.0
1275.575	61271	448.3	10.0
1281.575	62601	445.8	10.0
1285.975	63625	487.3	10.0
1287.015	63874	447.7	10.0
1287.045	63881	441.0	10.0
1287.575	64010	435.9	10.0
1289.615	64656	460.3	10.0
1289.645	64666	461.0	10.0
1289.935	64764	465.0	10.0
1289.975	64778	470.5	10.0
1291.575	65326	443.2	10.0
1293.975	66164	461.9	13.1
1297.615	67482	474.0	10.0
1297.975	67615	463.0	10.1
1299.015	68007	459.7	10.0
1299.045	68019	460.0	10.0
1299.575	68223	462.2	19.3
1301.855	69140	450.0	10.0
1301.975	69189	452.6	10.0
1303.855	70002	487.3	10.0
1303.975	70055	475.0	10.0
1305.985	70995	486.0	10.0
1307.985	71734	436.0	10.0
1309.855	72485	455.7	10.0
1309.975	72534	446.0	10.0
1311.855	73352	473.3	10.0
1311.975	73405	452.1	10.0
1313.985	74338	501.0	10.0
1315.985	75259	427.0	10.0
1317.855	76095	449.7	10.0
1317.975	76149	424.6	10.0
1319.850	76999	565.9	10.0
1321.985	77970	498.0	10.0
1323.985	78884	524.0	10.0
1325.855	79744	548.0	10.0
1325.975	79799	545.5	10.0
1328.975	81216	582.3	10.0
1329.985	81704	629.0	10.0
1331.985	82682	637.0	10.0
1334.975	84098	459.1	11.7
1336.975	85120	438.1	10.0
1337.985	85639	445.0	10.0
1339.985	86682	453.0	10.0
1343.905	88856	515.7	10.0
1343.975	88896	497.0	10.0
1346.905	90674	455.3	10.0
1346.975	90716	447.1	10.0
1348.985	91941	442.0	10.0
1349.985	92552	430.0	10.0
1351.975	93738	435.6	12.5
1353.975	94861	441.2	10.0
1356.985	96508	488.0	10.0
1359.985	98010	510.0	10.0
1360.975	98499	501.6	14.3
1362.975	99497	525.1	10.0
1363.985	100014	552.0	10.0
1365.985	101075	549.0	10.0
1367.850	102009	579.1	10.0
1369.975	103246	485.3	10.0
1372.985	105287	645.0	10.0
1373.985	106029	622.0	10.0
1374.975	106788	613.8	10.0
1378.975	110709	545.1	10.0
1379.985	111646	486.0	10.0
1384.725	115510	485.6	10.0
1385.985	116440	508.0	10.0
1389.985	118987	588.0	10.0
1391.875	120029	582.8	10.0
1391.975	120084	580.6	10.0
1393.875	121116	596.5	10.0
1393.975	121170	603.6	10.0
1395.985	122236	612.0	10.0
1396.985	122753	622.0	10.0
1399.975	124208	628.8	10.0
1401.975	125133	663.1	13.4
1403.985	126051	663.0	10.0
1405.985	126929	682.0	10.0
1407.975	127707	714.9	15.2
1409.975	128429	716.3	10.0
1411.985	129113	567.0	10.0
1413.985	129826	532.0	10.0
1415.975	130616	530.3	11.5
1417.975	131544	483.6	10.0
1419.985	132690	459.0	10.0
1421.985	134192	426.0	10.0
1423.975	136026	367.9	10.0
1425.975	138397	366.6	10.8
1427.985	140873	351.0	10.0
1429.985	143239	375.0	10.0
1431.975	145406	399.5	10.0
1433.975	147404	395.1	18.5
1435.985	149271	425.0	10.0
1437.985	150760	443.0	10.0
1440.975	152696	399.2	10.0
1441.975	153223	396.2	10.0
1443.985	154154	433.0	10.0
1445.985	155097	476.0	10.0
1447.975	155924	451.3	10.0
1449.975	156567	470.6	10.0
1451.985	157285	568.0	10.0
1453.985	158020	548.0	10.0
1457.975	159505	500.1	10.0
1458.985	159895	491.0	10.0
1461.985	161095	576.0	10.0
1463.975	161925	484.0	10.0
1466.975	163024	430.8	11.5
1468.985	163875	511.0	10.0
1469.985	164346	483.0	10.0
1471.755	165194	487.7	10.0
1472.975	165739	440.3	10.0
1475.985	167261	439.0	10.0
1479.875	169958	435.0	10.0
1479.975	170032	432.7	10.0
1481.985	171894	454.0	10.0
1483.985	174113	490.0	10.0
1485.835	176115	424.2	12.5
1487.975	178489	497.3	10.0
1489.985	181239	548.0	10.0
1491.985	184140	443.0	10.0
1493.975	186852	490.8	10.0
1495.975	189654	451.8	13.5
1497.985	192578	507.0	10.0
1499.985	194934	524.0	10.0
1503.875	197596	625.4	10.0
1506.975	199009	395.8	10.0
1507.985	199453	475.0	10.0
1509.985	200393	596.0	10.0
1511.975	201362	502.9	10.0
1513.975	202811	494.9	10.0
