,depth,deporate,rel_unc,comment
436,994.832,0.2603,0.2,
437,996.968,0.2587,0.2,
438,998.944,0.259,0.2,
439,1000.713,0.2455,0.2,
440,1002.671,0.2429,0.2,
441,1004.562,0.2446,0.2,
442,1006.373,0.2534,0.2,
443,1008.275,0.2575,0.2,
444,1010.427,0.2644,0.2,
445,1012.45,0.2595,0.2,
446,1014.435,0.2557,0.2,
447,1016.237,0.2522,0.2,
448,1018.246,0.2623,0.2,
449,1020.361,0.2665,0.2,
450,1022.392,0.2559,0.2,
451,1024.348,0.2413,0.2,
452,1025.998,0.2348,0.2,
453,1027.81,0.2363,0.2,
454,1029.702,0.2393,0.2,
455,1031.568,0.2402,0.2,
456,1033.305,0.2375,0.2,
457,1035.196,0.2462,0.2,
458,1037.038,0.2535,0.2,
459,1039.078,0.2555,0.2,
460,1040.899,0.2504,0.2,
461,1042.82,0.2437,0.2,
462,1044.658,0.2509,0.2,
463,1046.471,0.2456,0.2,
464,1048.393,0.2496,0.2,
465,1050.263,0.2525,0.2,
466,1052.272,0.251,0.2,
467,1054.089,0.251,0.2,
468,1056.041,0.2565,0.2,
469,1057.778,0.2555,0.2,
470,1059.842,0.248,0.2,
471,1061.652,0.2487,0.2,
472,1063.44,0.2433,0.2,
473,1065.301,0.2507,0.2,
474,1067.162,0.2482,0.2,
475,1069.07,0.2477,0.2,
476,1070.845,0.25,0.2,
477,1072.787,0.255,0.2,
478,1074.714,0.2554,0.2,
479,1076.562,0.2589,0.2,
480,1078.4,0.2489,0.2,
481,1080.359,0.2471,0.2,
482,1082.144,0.2428,0.2,
483,1083.931,0.2407,0.2,
484,1085.661,0.2454,0.2,
485,1087.471,0.2465,0.2,
486,1089.336,0.2515,0.2,
487,1091.218,0.2475,0.2,
488,1093.015,0.2458,0.2,
489,1094.758,0.239,0.2,
490,1096.546,0.2429,0.2,
491,1098.265,0.2462,0.2,
492,1100.176,0.2536,0.2,
493,1102.101,0.2562,0.2,
494,1103.933,0.2523,0.2,
495,1105.833,0.252,0.2,
496,1107.599,0.2542,0.2,
497,1109.558,0.2595,0.2,
498,1111.308,0.2567,0.2,
499,1113.281,0.2517,0.2,
500,1115.133,0.247,0.2,
501,1116.87,0.2477,0.2,
502,1118.608,0.2483,0.2,
503,1120.54,0.2471,0.2,
504,1122.379,0.2542,0.2,
505,1124.083,0.2541,0.2,
506,1125.966,0.2547,0.2,
507,1127.879,0.2628,0.2,
508,1129.671,0.2666,0.2,
509,1131.791,0.2693,0.2,
510,1133.72,0.2653,0.2,
511,1135.586,0.2556,0.2,
512,1137.334,0.2526,0.2,
513,1139.129,0.257,0.2,
514,1141.053,0.2621,0.2,
515,1142.885,0.2624,0.2,
516,1144.848,0.2574,0.2,
517,1146.646,0.252,0.2,
518,1148.408,0.2466,0.2,
519,1150.12,0.2499,0.2,
520,1152.014,0.2517,0.2,
521,1153.876,0.2596,0.2,
522,1155.62,0.2578,0.2,
523,1157.476,0.2637,0.2,
524,1159.413,0.2626,0.2,
525,1161.378,0.2574,0.2,
526,1163.056,0.2522,0.2,
527,1164.858,0.246,0.2,
528,1166.517,0.254,0.2,
529,1168.353,0.2534,0.2,
530,1170.245,0.2659,0.2,
531,1172.051,0.2698,0.2,
532,1174.017,0.257,0.2,
533,1175.89,0.2569,0.2,
534,1177.589,0.2474,0.2,
535,1179.321,0.2455,0.2,
536,1181.039,0.2472,0.2,
537,1182.845,0.2508,0.2,
538,1184.661,0.2605,0.2,
539,1186.465,0.264,0.2,
540,1188.37,0.2667,0.2,
541,1190.295,0.2652,0.2,
542,1192.118,0.2585,0.2,
543,1193.829,0.2492,0.2,
544,1195.543,0.2463,0.2,
545,1197.32,0.2613,0.2,
546,1199.188,0.2646,0.2,
547,1201.066,0.262,0.2,
548,1202.959,0.2463,0.2,
549,1204.617,0.2464,0.2,
