depth,ecm2
598.95,1.4007
599.5,1.8445
600.05,1.3804
600.6,1.3472
601.15,1.3058
601.7,1.4666
602.25,1.0698
602.8,0.6731
603.35,0.8486
603.9,1.2232
604.45,1.137
605.0,1.1424
605.55,1.0653
606.1,1.696
606.65,1.3803
607.2,1.3033
607.75,1.2107
608.3,1.0113
608.85,1.4624
609.4,1.4457
609.95,2.6567
610.5,1.2833
611.05,0.9843
611.6,1.2071
612.15,0.8715
612.7,0.906
613.25,0.953
613.8,1.0379
614.35,1.3752
614.9,1.0124
615.45,1.1512
616.0,1.1901
616.55,0.6261
617.1,0.5058
617.65,0.9629
618.2,1.1007
618.75,1.0078
619.3,1.3112
619.85,1.4854
620.4,2.2857
620.95,1.3711
621.5,0.9322
622.05,0.8571
622.6,1.4245
623.15,1.2004
623.7,0.9038
624.25,1.0453
624.8,1.1563
625.35,1.4282
625.9,1.7371
626.45,1.4854
627.0,1.2919
627.55,1.3004
628.1,1.6695
628.65,1.5203
629.2,1.9818
629.75,1.8176
630.3,1.5252
630.85,1.5596
631.4,1.9346
631.95,1.2448
632.5,2.0422
633.05,1.4589
633.6,1.4908
634.15,1.8965
634.7,0.9958
635.25,0.7629
635.8,1.4965
636.35,1.1128
636.9,0.6054
637.45,0.944
638.0,0.8951
638.55,1.0378
639.1,1.0468
639.65,1.1402
640.2,1.8589
640.75,1.1773
641.3,2.8318
641.85,1.9751
642.4,1.778
642.95,1.7396
643.5,1.4229
644.05,1.3856
644.6,1.8642
645.15,1.8696
645.7,1.257
646.25,1.3826
646.8,1.6061
647.35,1.1449
647.9,1.1722
648.45,1.1827
649.0,1.4233
649.55,1.0852
650.1,1.7363
650.65,1.0215
651.2,1.4207
651.75,1.5281
652.3,1.3973
652.85,1.2786
653.4,1.8581
653.95,0.7226
654.5,0.7827
655.05,1.08
655.6,1.0159
656.15,0.9961
656.7,0.7988
657.25,0.7336
657.8,0.7716
658.35,0.6215
658.9,1.9637
659.45,1.2915
660.0,1.3745
660.55,1.0809
661.1,2.0011
661.65,1.1769
662.2,1.0968
662.75,1.1242
663.3,1.2992
663.85,1.8661
664.4,1.5641
664.95,1.6767
665.5,1.4985
666.05,1.0092
666.6,1.3401
667.15,1.0245
667.7,1.2102
668.25,1.0996
668.8,1.469
669.35,1.6344
669.9,1.2172
670.45,1.1474
671.0,1.4846
671.55,1.4113
672.1,1.3052
672.65,1.5245
673.2,1.7759
673.75,1.3069
674.3,1.3467
674.85,1.0977
675.4,1.1788
675.95,1.1147
676.5,1.3625
677.05,1.2634
677.6,1.0316
678.15,1.1004
678.7,0.775
679.25,0.7399
679.8,0.8709
680.35,1.9199
680.9,1.2518
681.45,1.0216
682.0,0.9737
682.55,1.65
683.1,1.1893
683.65,1.0118
684.2,1.3063
684.75,1.0454
685.3,1.2448
685.85,1.1918
686.4,1.2661
686.95,1.0765
687.5,1.0274
688.05,1.2981
688.6,1.0599
689.15,1.2401
689.7,1.7521
690.25,1.3646
690.8,1.0741
691.35,1.1336
691.9,1.1799
692.45,0.6264
693.0,0.752
693.55,1.1639
694.1,0.747
694.65,0.6033
695.2,0.3722
695.75,0.5126
696.3,1.119
696.85,0.593
697.4,0.8891
697.95,1.09
698.5,0.9785
699.05,0.667
699.6,1.1178
700.15,0.9436
700.7,1.421
701.25,2.3289
701.8,2.7305
702.35,0.8231
702.9,0.3822
703.45,0.6174
704.0,1.1672
704.55,0.9416
705.1,0.7776
705.65,1.8655
706.2,1.967
706.75,1.3028
707.3,1.8396
707.85,1.3476
708.4,1.8102
708.95,1.7397
709.5,1.1771
710.05,1.1608
710.6,1.1825
711.15,0.7864
711.7,1.7164
712.25,1.5219
712.8,1.5361
713.35,1.6649
713.9,1.1338
714.45,1.0918
715.0,1.0295
715.55,0.9934
724.9,1.6043
725.45,1.7931
726.0,1.1034
726.55,1.0045
727.1,1.2371
727.65,1.3843
728.2,1.2424
728.75,0.9163
729.3,1.2169
729.85,0.9881
730.4,0.7801
730.95,0.6958
731.5,1.4208
732.05,1.1515
732.6,1.2105
733.15,2.6644
733.7,1.7598
734.25,2.0298
734.8,1.2518
735.35,1.0815
735.9,2.8581
736.45,2.9998
737.0,0.8732
737.55,1.174
738.1,0.7013
738.65,1.2662
739.2,1.5053
739.75,1.3852
740.3,1.9247
740.85,1.2902
741.4,1.7733
741.95,1.3909
742.5,1.3017
743.05,2.1117
744.15,1.5353
744.7,1.0933
745.25,1.3842
745.8,1.2898
746.35,1.0997
746.9,1.063
747.45,1.1342
748.0,1.5937
748.55,1.1202
749.1,1.2852
749.65,1.0353
750.2,1.4993
750.75,1.4426
751.3,1.6189
751.85,1.4641
752.4,0.7845
752.95,0.9802
753.5,1.9067
754.05,1.4764
754.6,2.4364
755.15,1.879
755.7,1.5073
