depth	thinning	rel_unc	comment
1118.700000	0.630200	0.357979	
1120.350000	0.629700	0.358524	
1122.000000	0.628800	0.359069	
1123.650000	0.627800	0.359614	
1125.300000	0.626900	0.360159	
1126.950000	0.626500	0.360703	
1128.600000	0.626400	0.361248	
1130.250000	0.626000	0.361793	
1131.900000	0.625500	0.362338	
1133.550000	0.625000	0.362883	
1135.200000	0.623900	0.363428	
1136.850000	0.623600	0.363973	
1138.500000	0.623500	0.364518	
1140.150000	0.623000	0.365063	
1141.800000	0.622200	0.365608	
1143.450000	0.622200	0.366153	
1145.100000	0.621800	0.366697	
1146.750000	0.621300	0.367242	
1148.400000	0.620800	0.367787	
1150.050000	0.620000	0.368332	
1151.700000	0.619300	0.368877	
1153.350000	0.619000	0.369422	
1155.000000	0.618600	0.369967	
1156.650000	0.617700	0.370512	
1158.300000	0.617000	0.371057	
1159.950000	0.616200	0.371602	
1161.600000	0.615600	0.372147	
1163.250000	0.615000	0.372692	
1164.900000	0.614200	0.373236	
1166.550000	0.613300	0.373781	
1168.200000	0.612500	0.374326	
1169.850000	0.611700	0.374871	
1171.500000	0.611200	0.375416	
1173.150000	0.610400	0.375961	
1174.800000	0.610000	0.376506	
1176.450000	0.609400	0.377051	
1178.100000	0.608700	0.377596	
1179.750000	0.608100	0.378141	
1181.400000	0.607700	0.378686	
1183.050000	0.607100	0.379231	
1184.700000	0.606700	0.379775	
1186.350000	0.606000	0.380320	
1188.000000	0.605700	0.380865	
1189.650000	0.605400	0.381410	
1191.300000	0.605200	0.381955	
1192.950000	0.604900	0.382500	
1194.600000	0.604400	0.383045	
1196.250000	0.603400	0.383590	
1197.900000	0.602900	0.384135	
1199.550000	0.602600	0.384680	
1201.200000	0.601900	0.385225	
1202.850000	0.601200	0.385769	
1204.500000	0.600400	0.386314	
1206.150000	0.599800	0.386859	
1207.800000	0.599000	0.387404	
1209.450000	0.598200	0.387949	
1211.100000	0.597800	0.388494	
1212.750000	0.597300	0.389039	
1214.400000	0.596900	0.389584	
1216.050000	0.596400	0.390129	
1217.700000	0.595900	0.390674	
1219.350000	0.595200	0.391219	
1221.000000	0.594500	0.391764	
1222.650000	0.594000	0.392308	
1224.300000	0.593400	0.392853	
1225.950000	0.592800	0.393398	
1227.600000	0.592200	0.393943	
1229.250000	0.592000	0.394488	
1230.900000	0.591800	0.395033	
1232.550000	0.591100	0.395578	
1234.200000	0.590400	0.396123	
1235.850000	0.589700	0.396668	
1237.500000	0.589300	0.397213	
1239.150000	0.588900	0.397758	
1240.800000	0.588700	0.398303	
1242.450000	0.587600	0.398847	
1244.100000	0.586800	0.399392	
1245.750000	0.586700	0.399937	
1247.400000	0.585900	0.400482	
1249.050000	0.584600	0.401027	
1250.700000	0.584000	0.401572	
1252.350000	0.583200	0.402117	
1254.000000	0.582400	0.402662	
1255.650000	0.581300	0.403207	
1257.300000	0.580500	0.403752	
1258.950000	0.579800	0.404297	
1260.600000	0.578700	0.404841	
1262.250000	0.577900	0.405386	
1263.900000	0.577300	0.405931	
1265.550000	0.576700	0.406476	
1267.200000	0.575800	0.407021	
1268.850000	0.575100	0.407566	
1270.500000	0.574200	0.408111	
1272.150000	0.573200	0.408656	
1273.800000	0.572600	0.409201	
1275.450000	0.571900	0.409746	
1277.100000	0.571600	0.410291	
1278.750000	0.571100	0.410836	
1280.400000	0.570200	0.411380	
1282.050000	0.568500	0.411925	
1283.700000	0.566900	0.412470	
1285.350000	0.565300	0.413015	
1287.000000	0.564900	0.413560	
1288.650000	0.564100	0.414105	
1290.300000	0.563200	0.414650	
1291.950000	0.562000	0.415195	
1293.600000	0.561200	0.415740	
1295.250000	0.559900	0.416285	
1296.900000	0.558700	0.416830	
1298.550000	0.557800	0.417375	
1300.200000	0.556700	0.417919	
1301.850000	0.555600	0.418464	
1303.500000	0.554500	0.419009	
1305.150000	0.553200	0.419554	
1306.800000	0.552000	0.420099	
1308.450000	0.550900	0.420644	
1310.100000	0.549700	0.421189	
1311.750000	0.548600	0.421734	
1313.400000	0.547400	0.422279	
1315.050000	0.546300	0.422824	
1316.700000	0.545100	0.423369	
1318.350000	0.544100	0.423913	
1320.000000	0.543300	0.424458	
1321.650000	0.542700	0.425003	
1323.300000	0.542200	0.425548	
1324.950000	0.541600	0.426093	
1326.600000	0.541000	0.426638	
1328.250000	0.540500	0.427183	
1329.900000	0.540100	0.427728	
1331.550000	0.539600	0.428273	
1333.200000	0.539400	0.428818	
1334.850000	0.538800	0.429363	
1336.500000	0.538400	0.429908	
1338.150000	0.538100	0.430452	
1339.800000	0.537800	0.430997	
1341.450000	0.537500	0.431542	
