depth,sulfate
64.315,152.73
64.3811,126.69
64.4382,94.92
64.4953,102.21
64.5524,111.21
64.6095,82.68
64.6666,91.22
64.7237,100.99
64.7808,56.14
64.8379,99.72
64.9425,76.86
64.983,68.32
65.0234,85.09
65.0639,87.46
65.1044,128.62
65.1449,132.99
65.1854,135.59
65.2259,141.64
65.2663,124.88
65.3068,171.37
65.3473,167.05
65.3908,143.61
65.4313,131.72
65.4717,143.19
65.5122,133.52
65.5527,105.28
65.5932,103.32
65.6337,107.68
65.6741,110.27
65.7146,135.97
65.7551,105.91
65.7956,127.77
65.8361,108.11
65.8766,136.2
65.917,145.5
65.9575,105.05
66.0418,79.09
66.079,81.63
66.1152,99.88
66.1524,87.78
66.1906,138.33
66.2278,115.46
66.265,83.64
66.3022,86.62
66.3393,105.91
66.3765,131.26
66.4137,91.3
66.4509,100.0
66.4881,79.05
66.5253,102.92
66.5625,85.53
66.5996,64.38
66.6368,90.94
66.674,83.56
66.7112,82.8
66.7484,73.57
66.7856,153.03
66.8228,102.49
66.8599,87.34
66.8971,129.81
66.9343,101.03
66.9715,96.43
67.0087,95.92
67.0459,113.36
67.0831,83.16
67.1126,95.28
67.1409,135.59
67.1692,155.43
67.1976,166.49
67.2259,160.1
67.2542,146.41
67.2825,145.5
67.3108,192.8
67.3391,121.25
67.3674,102.65
67.3957,136.35
67.424,135.09
67.4524,129.0
67.4807,143.68
67.509,118.03
67.5373,132.11
67.5656,106.94
67.5939,137.3
67.6222,78.97
67.6505,107.84
67.6789,120.24
67.7072,96.87
67.7355,112.69
67.7638,97.38
67.7921,124.65
67.8204,107.37
67.8487,99.84
67.877,102.72
67.9053,110.78
67.9337,83.24
67.962,95.76
67.9903,171.85
68.0186,118.81
68.0519,116.51
68.0802,109.64
68.1085,126.5
68.1368,129.27
68.1651,115.89
68.2322,142.62
68.2932,126.35
68.3542,106.43
68.4152,99.4
68.4762,99.88
68.5372,120.94
68.5982,99.64
68.6592,94.64
68.7202,109.76
68.7862,156.74
68.8472,117.13
68.9082,104.69
68.9692,111.13
69.0302,127.69
69.0912,114.88
69.1522,187.14
69.2132,179.23
69.2742,135.55
69.3491,100.51
69.4078,106.74
69.4665,96.55
69.5252,116.4
69.5839,94.09
69.6426,108.62
69.7013,105.52
69.76,110.66
69.8187,100.59
69.8824,99.48
69.9411,88.38
69.9998,98.53
70.0585,94.48
70.1172,121.36
70.1759,82.07
70.2346,113.55
70.2933,121.63
70.352,121.83
70.424,99.21
70.4828,116.24
70.5415,110.66
70.6063,109.49
70.6651,120.82
70.7238,124.69
70.7826,128.42
70.8413,124.65
70.9001,104.58
70.9588,88.18
71.0176,100.0
71.0764,120.63
71.1351,104.3
71.1939,108.9
71.2526,145.12
71.3114,98.45
71.3701,87.66
71.4289,93.97
71.5237,96.59
71.5816,107.45
71.6395,106.86
71.6974,127.31
71.7553,128.35
71.8132,141.3
71.8711,144.37
71.929,101.42
71.9869,111.68
72.0448,113.67
72.1027,102.01
72.1606,101.62
72.2185,120.67
72.2944,121.21
72.3523,97.9
72.4102,108.55
72.4681,104.58
72.526,127.65
72.5839,134.02
72.6316,137.0
72.6908,146.71
72.7499,114.92
72.8091,106.82
72.8683,93.49
72.9274,98.85
72.9866,98.97
73.0458,106.23
73.1109,101.66
73.1701,99.33
73.2293,114.99
73.2884,119.54
73.3476,86.9
73.4068,111.64
73.4659,156.67
73.5251,266.61
73.5843,343.39
73.6434,208.58
73.7732,105.25
73.8299,100.28
73.8865,112.19
73.9431,126.31
73.9998,121.79
74.0564,115.5
74.113,99.64
74.1697,120.28
74.2263,98.93
74.2829,134.86
74.3396,134.59
74.3962,116.28
74.4528,96.07
74.5094,75.04
74.5701,88.86
74.6267,91.74
74.6833,120.01
74.74,109.05
74.8232,116.59
74.8797,200.54
74.9361,184.63
74.9926,160.1
75.0491,119.08
75.1056,121.02
75.162,111.64
75.2185,124.42
75.275,108.58
75.3315,80.74
75.3929,112.54
75.4494,91.66
75.5059,122.68
75.5624,128.92
75.6189,107.33
75.6753,165.71
75.7318,229.11
75.7883,237.26
75.8448,155.39
75.9665,104.42
76.0239,95.24
76.0812,97.38
76.1386,90.34
76.2159,107.33
76.2733,104.42
76.3306,91.46
76.388,114.76
76.4453,86.01
76.5027,167.9
76.56,165.9
76.6174,156.82
76.6747,103.36
76.7321,89.9
76.7894,129.04
76.8468,168.82
76.9141,147.24
76.9715,116.79
77.1039,82.33
77.1518,81.05
77.1998,81.81
77.2478,88.6
77.3047,77.09
77.3527,90.28
77.4006,70.38
77.4486,82.88
77.4965,80.03
77.5445,80.55
77.5924,89.12
77.6404,108.89
77.6884,95.4
77.7363,84.02
77.7843,87.71
77.8322,98.62
77.8802,110.79
77.9281,80.55
77.9761,142.9
78.024,180.92
78.072,151.21
78.1216,111.61
78.1738,116.82
78.226,124.45
78.2782,117.63
78.3304,95.88
78.3886,92.23
78.4408,86.16
78.493,94.97
78.5452,100.62
78.5974,103.23
78.6496,122.05
78.7018,96.0
78.754,111.58
78.8062,112.27
78.8584,137.13
78.9106,145.28
78.9628,103.32
79.015,97.68
79.0672,106.02
79.1194,75.21
79.1716,89.73
79.2653,95.46
79.3216,107.05
79.3779,109.64
79.4342,139.78
79.4905,183.86
79.5467,138.5
79.611,101.05
79.6673,80.46
79.7236,86.55
79.7829,84.35
79.8392,80.49
79.8955,91.8
79.9517,69.33
80.008,83.31
80.0643,98.22
80.1206,108.35
80.1769,84.47
80.3211,93.51
80.3721,82.64
80.4231,88.11
80.4741,106.38
80.5251,97.22
80.6061,84.08
80.6571,91.53
80.7081,88.26
80.7591,97.07
80.8101,95.73
80.8611,79.94
80.9121,88.02
80.9631,91.19
81.0141,84.84
81.0651,97.59
81.1161,114.5
81.1671,105.99
81.2181,97.43
81.2691,135.34
81.3201,116.55
81.3711,102.68
81.4224,72.66
81.4769,76.69
81.5314,104.71
81.5859,88.23
81.6404,98.38
81.7079,100.83
81.7624,94.6
81.8169,134.3
81.8714,117.91
81.9259,91.41
81.9804,78.68
82.0349,106.83
82.0894,96.03
82.1439,94.42
82.2014,93.87
82.2559,103.59
82.3104,90.58
82.3649,103.14
82.4194,71.55
82.4739,91.38
82.5209,90.64
82.5659,101.84
82.6109,155.41
82.6559,153.72
82.7009,67.7
82.7459,54.3
82.7909,53.3
82.8359,70.69
82.8809,86.28
82.9259,77.76
82.9709,71.74
83.0159,77.15
83.0609,92.56
83.1059,121.78
83.1509,88.63
83.1959,87.16
83.2409,91.86
83.2859,85.12
83.3309,64.33
83.3759,97.16
83.4209,52.0
83.4659,78.65
83.5349,83.62
83.5799,94.33
83.6729,91.65
83.7296,97.59
83.7864,113.06
83.8432,105.11
83.8999,159.65
83.9567,129.72
84.0134,108.53
84.0702,89.33
84.1719,91.38
84.2287,117.06
84.2855,193.89
84.3422,111.21
84.399,94.48
84.4557,101.47
84.5125,97.34
84.5692,108.47
84.626,128.68
84.6827,113.06
84.7194,82.85
84.7657,92.75
84.812,79.48
84.8643,81.35
84.9106,84.5
84.9569,88.23
85.0032,95.34
85.0495,106.2
85.1008,201.15
85.1471,177.12
85.1934,147.92
85.2397,123.97
85.286,87.1
85.3323,109.19
85.3786,73.55
85.4249,117.33
85.4712,89.06
85.5175,84.11
85.5638,75.31
85.6101,114.59
85.6564,89.91
85.7027,88.57
85.749,89.06
85.8159,89.48
85.8529,85.09
85.8899,107.59
85.9269,85.94
85.9639,101.17
86.0009,74.23
86.0379,93.23
86.0749,87.9
86.1119,93.63
86.1489,91.96
86.1859,116.19
86.2229,105.83
86.2599,97.16
86.2969,109.71
86.3339,94.51
86.3759,120.01
86.4129,131.7
86.4499,96.58
86.4869,91.68
86.5239,109.46
86.5609,106.83
86.5979,92.59
86.6349,81.69
86.6719,96.61
86.7089,124.06
86.7459,126.58
86.7829,134.77
86.8199,129.04
86.8569,138.29
86.9462,156.35
86.9855,132.21
87.0248,125.38
87.064,116.64
87.1113,88.87
87.1506,114.29
87.1899,89.27
