#IGOR SMB Depth (m)	SMB_ie	error
931.81	0.020843761	0.2
934.96	0.018857758	0.2
936.43	0.017463963	0.2
936.97	0.01868446	0.2
939.85	0.018332007	0.2
941.97	0.015232353	0.2
942.24	0.016122221	0.2
942.46	0.016944459	0.2
943.19	0.018857519	0.2
944.38	0.019779353	0.2
946.46	0.015594362	0.2
946.65	0.019840473	0.2
948.38	0.019451351	0.2
951.08	0.017832358	0.2
955.57	0.019509265	0.2
956.05	0.018606043	0.2
958.45	0.020482503	0.2
961	0.021074617	0.2
961.79	0.019526185	0.2
962.06	0.017695445	0.2
963.19	0.018491557	0.2
968.95	0.016018531	0.2
974.53	0.020876397	0.2
976.43	0.0190729	0.2
979.43	0.020737757	0.2
982.55	0.018521967	0.2
983.67	0.022378963	0.2
983.99	0.017923863	0.2
985.39	0.021064796	0.2
986.43	0.019983437	0.2
989.06	0.023188721	0.2
991.01	0.019586384	0.2
993.86	0.017954044	0.2
996.18	0.019107679	0.2
997.69	0.019778053	0.2
998.7	0.021149081	0.2
1000.01	0.020571508	0.2
1002.63	0.021308543	0.2
1008.66	0.017229427	0.2
1010.27	0.02496227	0.2
1010.89	0.020926999	0.2
1012.76	0.025202968	0.2
1016.45	0.026494718	0.2
1018.19	0.021339057	0.2
1024.89	0.014907434	0.2
1026.06	0.017160544	0.2
1028.27	0.013124094	0.2
1029.85	0.013883368	0.2
1035.67	0.013902754	0.2
1039.28	0.015348746	0.2
1042.66	0.013598917	0.2
1046.49	0.013598917	0.2
1047	0.0193	0.3
1048	0.0189	0.3
1049	0.0196	0.3
1050	0.0191	0.3
1051	0.0192	0.3
1052	0.0181	0.3
1053	0.0195	0.3
1054	0.0194	0.3
1055	0.0193	0.3
1056	0.0196	0.3
1057	0.0178	0.3
1058	0.0187	0.3
1059	0.0178	0.3
1060	0.0182	0.3
1061	0.0175	0.3
1062	0.0194	0.3
1063	0.0181	0.3
1064	0.0176	0.3
1065	0.018	0.3
1066	0.0184	0.3
1067	0.0178	0.3
1068	0.0179	0.3
1069	0.0189	0.3
1070	0.0188	0.3
1071	0.0176	0.3
1072	0.0187	0.3
1073	0.0187	0.3
1074	0.0193	0.3
1075	0.0181	0.3
1076	0.0186	0.3
1077	0.0187	0.3
1078	0.0183	0.3
1079	0.0179	0.3
1080	0.0183	0.3
1081	0.0177	0.3
1082	0.017	0.3
1083	0.0171	0.3
1084	0.0178	0.3
1085	0.0176	0.3
1086	0.017	0.3
1087	0.0183	0.3
1088	0.0173	0.3
1089	0.0175	0.3
1090	0.0173	0.3
1091	0.0169	0.3
1092	0.0171	0.3
1093	0.0174	0.3
1094	0.0167	0.3
1095	0.0164	0.3
1096	0.0166	0.3
1097	0.0173	0.3
1098	0.0171	0.3
1099	0.0159	0.3
1100	0.0167	0.3
1101	0.0184	0.3
1102	0.0166	0.3
1103	0.0172	0.3
1104	0.0167	0.3
1105	0.0172	0.3
1106	0.0177	0.3
1107	0.0173	0.3
1108	0.0165	0.3
1109	0.0168	0.3
1110	0.0171	0.3
1111	0.0171	0.3
1112	0.0166	0.3
1113	0.0167	0.3
1114	0.0177	0.3
1115	0.0164	0.3
1116	0.0164	0.3
1117	0.0162	0.3
1118	0.0162	0.3
1119	0.0168	0.3
1120	0.0171	0.3
1121	0.0176	0.3
1122	0.0175	0.3
1123	0.0168	0.3
1124	0.018	0.3
1125	0.0177	0.3
1126	0.0183	0.3
1127	0.0172	0.3
1128	0.0174	0.3
1129	0.0162	0.3
1130	0.0167	0.3
1131	0.0178	0.3
1132	0.0168	0.3
1133	0.0175	0.3
1134	0.0168	0.3
1135	0.0171	0.3
1136	0.0177	0.3
1137	0.0169	0.3
1138	0.0185	0.3
1139	0.0174	0.3
1140	0.0173	0.3
1141	0.0182	0.3
1142	0.0183	0.3
1143	0.0179	0.3
1144	0.0179	0.3
1145	0.0196	0.3
1146	0.0201	0.3
1147	0.0201	0.3
1148	0.021	0.3
1149	0.0195	0.3
1150	0.0193	0.3
1151	0.0194	0.3
1152	0.0189	0.3
1153	0.0197	0.3
1154	0.019	0.3
1155	0.0191	0.3
1156	0.0214	0.3
1157	0.0187	0.3
1158	0.0189	0.3
1159	0.0191	0.3
1160	0.019	0.3
1161	0.0192	0.3
1162	0.0192	0.3
1163	0.0186	0.3
1164	0.0184	0.3
1165	0.0178	0.3
1166	0.0172	0.3
1167	0.0179	0.3
1168	0.0175	0.3
1169	0.0185	0.3
1170	0.0203	0.3
1171	0.0187	0.3
1172	0.0206	0.3
1173	0.019	0.3
1174	0.0198	0.3
1175	0.0195	0.3
1176	0.019	0.3
1177	0.02	0.3
1178	0.0203	0.3
1179	0.0209	0.3
1180	0.021	0.3
1181	0.0215	0.3
1182	0.0193	0.3
1183	0.0202	0.3
1184	0.0202	0.3
1185	0.0205	0.3
1186	0.021	0.3
1187	0.0212	0.3
1188	0.0221	0.3
1189	0.0224	0.3
1190	0.0216	0.3
1191	0.0206	0.3
1192	0.0206	0.3
1193	0.0206	0.3
1194	0.0196	0.3
1195	0.0204	0.3
1196	0.0203	0.3
1197	0.02	0.3
1198	0.0197	0.3
1199	0.0202	0.3
1200	0.0197	0.3
1201	0.0195	0.3
1202	0.0184	0.3
1203	0.0187	0.3
1204	0.0188	0.3
1205	0.0195	0.3
1206	0.0198	0.3
1207	0.0209	0.3
1208	0.0201	0.3
1209	0.0207	0.3
1210	0.02	0.3
1211	0.0193	0.3
1212	0.0203	0.3
1213	0.0198	0.3
1214	0.0199	0.3
1215	0.0202	0.3
1216	0.0205	0.3
1217	0.0206	0.3
1218	0.0209	0.3
1219	0.0202	0.3
1220	0.0203	0.3
1221	0.0194	0.3
1222	0.0193	0.3
1223	0.0211	0.3
1224	0.02	0.3
1225	0.0213	0.3
1226	0.0205	0.3
1227	0.0209	0.3
1228	0.02	0.3
1229	0.0216	0.3
1230	0.0205	0.3
1231	0.0214	0.3
1232	0.0209	0.3
1233	0.0213	0.3
1234	0.021	0.3
1235	0.0228	0.3
1236	0.0214	0.3
1237	0.022	0.3
1238	0.022	0.3
1239	0.0219	0.3
1240	0.0233	0.3
1241	0.0216	0.3
1242	0.0218	0.3
1243	0.0213	0.3
1244	0.0228	0.3
1245	0.0221	0.3
1246	0.0221	0.3
1247	0.0229	0.3
1248	0.0229	0.3
1249	0.0238	0.3
1250	0.0239	0.3
1251	0.0238	0.3
1252	0.0236	0.3
1253	0.0235	0.3
1254	0.0236	0.3
1255	0.0234	0.3
1256	0.0238	0.3
1257	0.0221	0.3
1258	0.0237	0.3
1259	0.0232	0.3
1260	0.0228	0.3
1261	0.0239	0.3
1262	0.0227	0.3
1263	0.022	0.3
1264	0.0231	0.3
1265	0.023	0.3
1266	0.0234	0.3
1267	0.0235	0.3
1268	0.0237	0.3
1269	0.0223	0.3
1270	0.0246	0.3
1271	0.025	0.3
1272	0.0239	0.3
1273	0.0244	0.3
1274	0.024	0.3
1275	0.0253	0.3
1276	0.026	0.3
1277	0.0257	0.3
1278	0.0244	0.3
1279	0.0243	0.3
1280	0.0264	0.3
1281	0.0257	0.3
1282	0.0249	0.3
1283	0.0259	0.3
1284	0.0259	0.3
1285	0.0249	0.3
1286	0.0245	0.3
1287	0.0249	0.3
1288	0.0251	0.3
1289	0.0256	0.3
1290	0.0288	0.3
1291	0.0267	0.3
1292	0.0262	0.3
1293	0.0252	0.3
1294	0.0248	0.3
1295	0.0252	0.3
1296	0.0243	0.3
1297	0.0247	0.3
1298	0.027	0.3
1299	0.0256	0.3
1300	0.0246	0.3
1301	0.0244	0.3
1302	0.0249	0.3
1303	0.024	0.3
1304	0.0239	0.3
1305	0.0242	0.3
1306	0.0235	0.3
1307	0.0236	0.3
1308	0.0242	0.3
1309	0.0235	0.3
1310	0.0228	0.3
1311	0.0224	0.3
1312	0.0229	0.3
1313	0.0228	0.3
1314	0.0215	0.3
1315	0.0221	0.3
1316	0.0234	0.3
1317	0.0216	0.3
1318	0.0232	0.3
1319	0.0221	0.3
1320	0.0229	0.3
1321	0.0213	0.3
1322	0.0217	0.3
1323	0.0224	0.3
1324	0.0224	0.3
1325	0.0212	0.3
1326	0.0216	0.3
1327	0.0218	0.3
1328	0.021	0.3
1329	0.0218	0.3
1330	0.0208	0.3
1331	0.0207	0.3
1332	0.0211	0.3
1333	0.0219	0.3
1334	0.0216	0.3
1335	0.0212	0.3
1336	0.0207	0.3
1337	0.0209	0.3
1338	0.0206	0.3
1339	0.0194	0.3
1340	0.0196	0.3
1341	0.019	0.3
1342	0.0197	0.3
1343	0.021	0.3
1344	0.02	0.3
1345	0.0195	0.3
1346	0.0209	0.3
1347	0.0219	0.3
1348	0.0213	0.3
1349	0.0223	0.3
1350	0.0206	0.3
1351	0.0202	0.3
1352	0.021	0.3
1353	0.02	0.3
1354	0.0209	0.3
1355	0.0212	0.3
1356	0.0221	0.3
1357	0.0195	0.3
1358	0.0218	0.3
1359	0.0213	0.3
1360	0.0204	0.3
1361	0.0201	0.3
1362	0.0234	0.3
1363	0.0214	0.3
1364	0.0206	0.3
1365	0.0211	0.3
1366	0.0218	0.3
1367	0.0207	0.3
1368	0.0213	0.3
1369	0.0219	0.3
1370	0.0221	0.3
1371	0.0205	0.3
1372	0.0212	0.3
1373	0.022	0.3
1374	0.0209	0.3
1375	0.0209	0.3
1376	0.0205	0.3
1377	0.0232	0.3
1378	0.0211	0.3
1379	0.0205	0.3
1380	0.0211	0.3
1381	0.02	0.3
1382	0.0213	0.3
1383	0.0218	0.3
1384	0.0219	0.3
1385	0.0222	0.3
1386	0.0217	0.3
1387	0.0219	0.3
1388	0.022	0.3
1389	0.021	0.3
1390	0.021	0.3
1391	0.0205	0.3
1392	0.0209	0.3
1393	0.0236	0.3
1394	0.0207	0.3
1395	0.0217	0.3
1396	0.0224	0.3
1397	0.021	0.3
1398	0.024	0.3
1399	0.021	0.3
1400	0.0207	0.3
1401	0.0222	0.3
1402	0.0228	0.3
1403	0.0211	0.3
1404	0.0216	0.3
1405	0.0202	0.3
1406	0.0202	0.3
1407	0.0215	0.3
1408	0.0221	0.3
1409	0.0231	0.3
1410	0.0226	0.3
1411	0.0223	0.3
1412	0.0239	0.3
1413	0.0218	0.3
1414	0.0221	0.3
1415	0.0211	0.3
1416	0.0227	0.3
1417	0.0237	0.3
1418	0.0221	0.3
1419	0.0212	0.3
1420	0.0212	0.3
1421	0.0211	0.3
1422	0.0224	0.3
1423	0.0224	0.3
1424	0.0217	0.3
1425	0.0224	0.3
1426	0.0223	0.3
1427	0.0233	0.3
1428	0.0219	0.3
1429	0.0227	0.3
1430	0.0213	0.3
1431	0.0216	0.3
1432	0.022	0.3
1433	0.023	0.3
1434	0.0214	0.3
1435	0.0213	0.3
1436	0.0232	0.3
1437	0.0223	0.3
1438	0.0219	0.3
1439	0.0227	0.3
1440	0.0244	0.3
1441	0.0218	0.3
1442	0.0223	0.3
1443	0.0224	0.3
1444	0.0243	0.3
1445	0.023	0.3
1446	0.0228	0.3
1447	0.0244	0.3
1448	0.0231	0.3
1449	0.0245	0.3
1450	0.0245	0.3
1451	0.0244	0.3
1452	0.0227	0.3
1453	0.0241	0.3
1454	0.0247	0.3
1455	0.0222	0.3
1456	0.0235	0.3
1457	0.0233	0.3
1458	0.0235	0.3
1459	0.0236	0.3
1460	0.0238	0.3
1461	0.0246	0.3
1462	0.0241	0.3
1463	0.0241	0.3
1464	0.0236	0.3
1465	0.0235	0.3
1466	0.0232	0.3
1467	0.0228	0.3
1468	0.0228	0.3
1469	0.0238	0.3
1470	0.0242	0.3
1471	0.023	0.3
1472	0.0239	0.3
1473	0.0245	0.3
1474	0.0241	0.3
1475	0.0241	0.3
1476	0.024	0.3
1477	0.024	0.3
1478	0.0233	0.3
1479	0.0235	0.3
1480	0.0241	0.3
1481	0.024	0.3
1482	0.0238	0.3
1483	0.0236	0.3
1484	0.0241	0.3
1485	0.0238	0.3
1486	0.0259	0.3
1487	0.0243	0.3
1488	0.0243	0.3
1489	0.0252	0.3
1490	0.0257	0.3
1491	0.026	0.3
1492	0.0233	0.3
1493	0.0227	0.3
1494	0.0246	0.3
1495	0.0251	0.3
1496	0.0239	0.3
1497	0.025	0.3
1498	0.0255	0.3
1499	0.0223	0.3
1500	0.0232	0.3
1501	0.023	0.3
1502	0.0241	0.3
1503	0.023	0.3
1504	0.0225	0.3
1505	0.0245	0.3
1506	0.0224	0.3
1507	0.0225	0.3
1508	0.022	0.3
1509	0.0222	0.3
1510	0.0217	0.3
1511	0.0204	0.3
1512	0.0201	0.3
1513	0.0206	0.3
1514	0.0213	0.3
1515	0.0217	0.3
1516	0.0213	0.3
1517	0.0214	0.3
1518	0.0222	0.3
1519	0.0214	0.3
1520	0.0219	0.3
1521	0.0225	0.3
1522	0.0222	0.3
1523	0.022	0.3
1524	0.0223	0.3
1525	0.0228	0.3
1526	0.0221	0.3
1527	0.0238	0.3
1528	0.0228	0.3
1529	0.0229	0.3
1530	0.023	0.3
1531	0.0221	0.3
1532	0.022	0.3
1533	0.023	0.3
1534	0.0222	0.3
1535	0.0237	0.3
1536	0.0229	0.3
1537	0.0219	0.3
1538	0.0229	0.3
1539	0.0222	0.3
1540	0.0226	0.3
1541	0.0225	0.3
1542	0.0239	0.3
1543	0.0234	0.3
1544	0.0222	0.3
1545	0.0235	0.3
1546	0.0235	0.3
1547	0.0219	0.3
1548	0.0213	0.3
1549	0.0214	0.3
1550	0.0226	0.3
1551	0.0216	0.3
1552	0.0213	0.3
1553	0.0211	0.3
1554	0.0214	0.3
1555	0.0203	0.3
1556	0.0208	0.3
1557	0.0197	0.3
1558	0.0204	0.3
1559	0.0205	0.3
1560	0.0213	0.3
1561	0.0194	0.3
1562	0.0185	0.3
1563	0.0192	0.3
1564	0.0181	0.3
1565	0.0195	0.3
1566	0.0182	0.3
1567	0.018	0.3
1568	0.0186	0.3
1569	0.0189	0.3
1570	0.0191	0.3
1571	0.0186	0.3
1572	0.0184	0.3
1573	0.0185	0.3
1574	0.0181	0.3
1575	0.0191	0.3
1576	0.0199	0.3
1577	0.0202	0.3
1578	0.0189	0.3
1579	0.0195	0.3
